#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 05J45: Sawtooth, CO
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Sawtooth (05J45) 
# Colorado  SNOW COURSE/AERIAL MARKER Site - 9740 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:50:12 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
2002,,,,Feb 01,33,8.5,Mar 06,45,12.5,Mar 29,45,14.7,Apr 29,31,11.1,,,
2003,,,,Jan 31,35,9.7,Feb 27,64,14.9,Mar 31,86,24.0,Apr 30,70,27.3,,,
2004,,,,Jan 26,30,8.4,Feb 26,40,11.9,Mar 31,35,12.3,Apr 30,46,16.9,,,
2005,,,,Jan 31,50,11.6,Feb 23,49,14.0,Mar 28,51,16.8,Apr 26,49,16.7,,,
2006,,,,Jan 31,53,16.8,Feb 28,53,19.8,Mar 28,59,22.6,Apr 25,57,21.5,,,
2007,,,,Jan 29,42,12.7,Feb 27,57,18.1,Mar 30,54,18.7,Apr 26,37,14.0,,,
2008,,,,Jan 30,46,12.7,Feb 28,57,18.4,Mar 28,61,20.6,Apr 29,55,19.9,,,
2009,,,,Jan 27,53,13.4,Feb 25,48,16.6,Mar 31,56,19.1,May 01,59,24.6,,,
2010,,,,Feb 01,34,9.2,Feb 23,45,11.2,Mar 30,59,14.8,,,,,,
2011,,,,Jan 25,60,17.0,Feb 23,61,20.4,Mar 29,82,25.4,,,,,,
2012,,,,Jan 31,39,9.9,Feb 27,52,15.6,Mar 27,42,15.5,Apr 26,32,13.3,,,
2013,,,,Jan 30,25,5.4,Feb 28,38,8.7,Mar 28,47,13.1,Apr 30,60,20.5,,,
2014,,,,Jan 29,45,12.1,Feb 27,83,25.1,Mar 28,90,29.8,Apr 30,74,30.0,,,
2015,,,,Jan 28,34,10.1,,,,,,,,,,,,
2016,,,,,,,Feb 26,50,14.5,Mar 29,57,18.2,,,,,,
2017,,,,,,,,,,Apr 03,59,23.5,,,,,,
2018,,,,,,,,,,Apr 02,46,14.2,,,,,,
2019,,,,,,,,,,Mar 28,69,22.7,,,,,,
2020,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,Mar 25,62,16.2,,,,,,
2022,,,,Jan 27,47,13.2,Feb 22,48,15.1,Mar 31,52,18.0,Apr 28,48,18.5,,,
2023,,,,,,,,,,,,,,,,,,
