#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 05K07: Lapland, CO
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Lapland (05K07) 
# Colorado  SNOW COURSE/AERIAL MARKER Site - 9300 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:09:28 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1938,,,,,,,,,,Apr 01,45,11.7,May 01,30,9.5,,,
1939,,,,,,,,,,Apr 01,38,11.0,May 01,13,4.7,,,
1940,,,,Feb 01,22,4.2,Mar 04,27,6.7,Apr 01,20,7.1,May 01,0,0.0,,,
1941,,,,Feb 01,25,4.2,Mar 05,33,6.9,Apr 01,34,10.8,May 01,31,11.4,,,
1942,,,,Feb 02,31,6.8,Mar 02,37,9.0,Apr 01,39,10.6,May 01,33,9.2,,,
1943,,,,Feb 01,38,9.5,Mar 01,51,13.4,Apr 01,47,15.8,May 01,8,2.8,,,
1944,,,,Feb 01,21,4.1,Mar 01,26,5.5,Mar 29,36,8.2,Apr 28,36,12.2,,,
1945,,,,Jan 31,20,3.8,Feb 27,37,8.9,Apr 01,35,10.1,May 01,36,10.7,,,
1946,,,,Feb 04,38,8.2,Feb 27,37,9.0,Apr 02,29,6.8,May 01,2,0.4,,,
1947,,,,Feb 03,31,6.0,Mar 03,46,9.9,Mar 27,43,12.1,Apr 29,42,13.1,,,
1948,,,,,,,Feb 27,43,8.5,Apr 01,47,13.7,Apr 29,26,16.0,,,
1949,,,,Feb 01,36,7.3,Feb 28,38,10.5,Apr 01,45,13.1,Apr 29,20,7.6,,,
1950,,,,,,,Mar 03,39,10.4,Mar 31,44,14.7,Apr 30,26,11.7,,,
1951,,,,Feb 02,46,12.7,Mar 01,48,14.0,Mar 30,48,15.4,May 01,38,12.8,,,
1952,,,,,,,Feb 29,50,15.9,Mar 31,62,18.8,May 01,28,12.8,,,
1953,,,,,,,Mar 05,34,9.3,Apr 01,33,8.7,May 02,33,9.5,,,
1954,,,,,,,Mar 03,31,5.9,Apr 02,34,8.1,Apr 30,2,0.4,,,
