#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 05M04: Brown Cabin, CO
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Brown Cabin (05M04) 
# Colorado  SNOW COURSE/AERIAL MARKER Site - 9600 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:01:22 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1965,,,,Jan 27,17,4.6,Feb 25,30,6.7,Mar 27,30,8.3,Apr 28,3,1.0,,,
1966,,,,Jan 30,26,6.0,Feb 26,32,8.3,Mar 26,16,6.6,,,,,,
1967,,,,Jan 28,14,3.6,Feb 25,15,4.4,Apr 02,0,0.0,Apr 28,0,0.0,,,
1968,,,,Jan 31,17,3.4,Feb 28,29,5.5,Mar 30,17,3.8,Apr 30,5,2.0,,,
1969,,,,Jan 30,12,4.2,Feb 28,19,4.8,Mar 28,27,8.5,Apr 30,0,0.0,,,
1970,,,,Jan 30,12,4.5,Feb 28,9,3.1,Mar 28,18,4.7,May 03,8,1.9,,,
1971,,,,,,,Feb 27,1,0.1,Apr 01,0,0.0,,,,,,
1972,,,,Jan 29,16,3.7,Feb 29,15,4.1,Mar 29,6,1.5,Apr 28,0,0.0,,,
1973,,,,Jan 29,28,6.7,Feb 27,28,6.9,Mar 28,40,9.0,Apr 28,29,8.2,,,
1974,,,,Jan 28,29,7.1,Feb 28,25,7.3,Mar 30,15,4.1,Apr 30,0,0.0,,,
1975,,,,Feb 03,18,4.6,Mar 01,29,6.3,Mar 29,41,12.2,May 03,18,5.9,,,
1976,,,,,,,Feb 27,12,3.1,Mar 31,5,1.6,,,,,,
1977,,,,Jan 27,16,2.4,Feb 24,12,2.6,Mar 30,9,2.6,Apr 27,0,0.0,,,
1978,,,,Jan 27,20,3.4,Feb 28,23,6.0,Mar 30,22,8.1,Apr 25,0,0.0,,,
1979,,,,Feb 06,51,12.4,Feb 28,44,13.6,Mar 27,47,15.7,,,,,,
1980,,,,Jan 31,24,6.2,Feb 28,33,8.3,Mar 28,46,10.4,Apr 28,26,7.7,,,
