#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 06K06: Nast Lake, CO
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Nast Lake (06K06) 
# Colorado  SNOW COURSE/AERIAL MARKER Site - 8700 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:10:23 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1936,,,,Feb 05,29,6.2,Feb 29,38,9.4,Mar 31,29,10.4,Apr 30,5,1.7,,,
1937,,,,Feb 01,13,2.0,Mar 01,21,4.0,Mar 31,18,5.2,May 01,1,0.4,,,
1938,,,,Jan 31,20,3.2,Mar 01,19,4.5,Mar 31,24,7.0,Apr 29,4,1.5,,,
1939,,,,Feb 01,31,7.2,Mar 01,37,8.7,Mar 31,30,7.1,Apr 30,1,0.5,,,
1940,,,,Feb 01,15,3.8,Mar 01,18,6.5,Mar 31,9,3.9,Apr 30,5,0.4,,,
1941,,,,Feb 01,18,3.1,Mar 01,17,4.5,Mar 31,16,4.8,May 01,3,1.1,,,
1942,,,,Feb 01,16,3.3,Mar 01,23,5.1,Apr 01,22,6.2,Apr 30,13,1.9,,,
1943,,,,Feb 01,25,5.2,Mar 01,24,5.7,Apr 01,26,4.5,May 01,0,0.0,,,
1944,,,,Jan 31,13,2.1,Mar 01,15,3.0,Apr 01,23,5.4,May 01,8,2.5,,,
1945,,,,Feb 01,13,1.7,Mar 01,19,4.0,Mar 31,17,4.4,Apr 30,5,1.4,,,
1946,,,,Feb 01,21,4.0,Mar 01,23,5.1,Apr 01,9,1.9,Apr 30,0,0.0,,,
1947,,,,Jan 31,21,4.9,Feb 28,31,5.2,Apr 01,22,6.4,Apr 30,7,2.3,,,
1948,,,,,,,Mar 01,25,4.7,Apr 03,28,6.4,Apr 30,5,1.2,,,
1949,,,,Feb 01,26,5.6,Mar 02,28,6.3,Apr 01,28,6.4,May 02,4,1.5,,,
1950,,,,Jan 31,24,3.0,Feb 27,22,4.6,Apr 02,24,6.0,May 02,0,0.0,,,
