#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 06K27: Lift, CO
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Lift (06K27) 
# Colorado  SNOW COURSE/AERIAL MARKER Site - 11250 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:05:26 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1957,,,,Feb 01,63,17.9,Mar 01,69,21.8,Apr 01,78,26.4,,,,,,
1958,,,,,,,Feb 28,56,13.3,Mar 31,64,16.6,,,,,,
1959,,,,Feb 02,31,6.1,Feb 26,45,10.5,Mar 26,45,13.5,,,,,,
1960,,,,Jan 25,28,7.6,Feb 25,41,10.2,Mar 25,53,15.6,Apr 26,35,10.8,,,
1961,,,,Jan 27,32,8.1,Feb 23,50,10.6,Mar 27,57,16.6,Apr 27,62,19.1,,,
1962,,,,Jan 27,68,15.6,Feb 23,82,21.0,Mar 26,81,30.3,Apr 23,83,26.3,,,
1963,,,,Jan 26,21,2.9,Feb 23,34,6.4,Mar 30,40,10.6,Apr 24,36,12.2,,,
1964,,,,Jan 25,33,7.3,Feb 22,39,8.6,Mar 22,57,16.8,Apr 27,50,18.2,,,
1965,,,,Jan 28,53,16.9,Feb 26,58,19.9,Mar 29,103,29.9,Apr 27,80,28.0,,,
1966,,,,Jan 28,34,9.2,Feb 25,40,11.3,Mar 28,43,12.9,Apr 27,38,11.4,,,
1967,,,,Jan 29,43,10.9,Feb 27,59,18.0,Mar 29,50,19.3,Apr 28,53,18.2,,,
1968,,,,Jan 29,34,8.8,Feb 26,45,12.4,Mar 29,47,14.3,Apr 28,68,22.3,,,
1969,,,,Jan 28,58,12.7,Feb 28,49,17.0,Mar 29,54,18.1,Apr 27,43,16.4,,,
1970,,,,Jan 28,43,12.9,Feb 25,53,15.2,Mar 29,63,17.5,Apr 28,70,24.9,,,
1971,,,,Jan 28,42,12.0,Feb 26,56,15.3,Mar 29,65,20.7,Apr 28,61,21.2,,,
1972,,,,Jan 28,42,11.0,Feb 26,50,13.9,Mar 28,49,14.4,Apr 28,50,17.7,,,
