#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 06L04: Monarch Pass, CO
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Monarch Pass (06L04) 
# Colorado  SNOW COURSE/AERIAL MARKER Site - 10500 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:08:42 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1941,,,,Jan 30,44,10.0,Feb 28,47,13.1,Mar 31,61,19.4,Apr 30,63,24.5,,,
1942,,,,Jan 30,46,8.9,Mar 02,56,13.6,Mar 31,61,19.0,May 01,76,23.7,,,
1943,,,,Jan 30,61,13.0,Feb 27,57,16.7,Apr 01,59,20.8,May 01,28,11.1,,,
1944,,,,Jan 31,39,6.7,Feb 29,42,8.8,Mar 31,55,14.5,Apr 29,64,21.3,,,
1945,,,,Jan 30,41,8.2,Mar 02,51,11.3,Mar 31,52,17.1,May 02,55,20.9,,,
1946,,,,Feb 01,42,10.8,,,,Apr 01,42,12.4,May 01,24,9.6,,,
1947,,,,Jan 30,36,4.9,Mar 01,59,12.7,Mar 31,54,17.1,Apr 30,53,20.5,,,
1948,,,,Jan 30,45,10.1,Mar 02,61,14.8,Apr 01,63,20.2,Apr 29,55,21.0,,,
1949,,,,Jan 28,49,11.8,Feb 28,56,15.9,Mar 30,75,20.0,Apr 28,45,17.5,,,
1950,,,,Jan 30,49,7.6,Feb 27,42,11.1,Mar 28,53,16.0,Apr 27,28,11.3,,,
1951,,,,Jan 31,60,13.2,Feb 25,57,16.5,Mar 28,67,21.1,Apr 26,60,21.7,,,
1952,,,,Jan 29,69,21.1,Mar 01,71,24.7,Mar 28,80,30.9,Apr 29,69,28.9,,,
1953,,,,Jan 29,38,10.8,Feb 26,46,13.1,Mar 31,59,17.5,Apr 30,53,18.3,,,
1954,,,,Jan 28,32,8.6,Mar 01,36,9.9,Apr 01,46,13.0,Apr 30,11,3.2,,,
1955,,,,Feb 01,31,7.0,Mar 01,46,13.1,Apr 01,47,15.4,Apr 29,33,12.6,,,
