#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 06L07: Tomichi, CO
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Tomichi (06L07) 
# Colorado  SNOW COURSE/AERIAL MARKER Site - 10500 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:04:28 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1960,,,,Jan 29,20,4.3,Feb 26,35,8.2,Mar 30,36,12.5,Apr 30,35,12.4,,,
1961,,,,Jan 30,25,4.9,Feb 28,34,7.2,Mar 28,39,10.4,Apr 27,34,11.5,,,
1962,,,,Jan 30,42,10.5,Feb 26,51,13.6,Mar 28,46,14.4,Apr 27,30,11.3,,,
1963,,,,Jan 29,27,6.0,Feb 26,39,11.0,Mar 28,35,12.2,Apr 26,12,4.6,,,
1964,,,,Jan 31,29,7.0,Feb 28,38,9.8,Mar 30,55,13.4,Apr 29,43,15.0,,,
1965,,,,Jan 27,39,11.9,Feb 24,46,15.0,Mar 29,63,20.5,Apr 27,47,17.7,,,
1966,,,,Jan 27,27,6.7,Feb 24,30,7.4,Mar 30,20,6.9,Apr 26,16,5.5,,,
1967,,,,Jan 31,30,8.3,Feb 27,33,9.6,Mar 30,25,7.6,Apr 28,6,2.2,,,
1968,,,,Jan 29,25,6.9,Feb 29,37,10.4,Mar 29,34,11.7,Apr 30,33,13.0,,,
1969,,,,Jan 31,40,9.6,Feb 28,38,11.1,Mar 28,41,13.9,Apr 29,19,8.8,,,
1970,,,,Jan 30,38,11.4,Feb 26,37,11.7,Mar 30,49,14.5,Apr 29,45,13.8,,,
1971,,,,Jan 27,29,8.3,Feb 26,40,11.3,Mar 29,40,12.9,Apr 29,31,10.4,,,
1972,,,,Jan 31,35,10.1,Feb 29,35,10.4,Mar 29,38,12.7,Apr 26,23,7.4,,,
1973,,,,Jan 29,39,11.3,Feb 27,38,11.5,Mar 28,48,14.6,Apr 27,49,16.5,,,
1974,,,,Jan 30,41,11.9,Feb 25,47,14.0,Mar 25,42,15.4,Apr 29,31,13.2,,,
