#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 06L08: Garfield, CO
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Garfield (06L08) 
# Colorado  SNOW COURSE/AERIAL MARKER Site - 9900 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:04:27 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1960,,,,Jan 29,24,4.8,Feb 26,35,7.5,Mar 30,30,10.2,Apr 27,0,0.0,,,
1961,,,,Jan 30,33,8.4,Feb 28,48,9.9,Mar 28,57,14.9,Apr 27,41,14.2,,,
1962,,,,Jan 29,47,12.7,Feb 26,58,17.0,Mar 28,52,18.4,Apr 27,26,10.7,,,
1963,,,,Jan 30,40,7.6,Feb 26,41,12.7,Mar 28,34,11.5,Apr 26,7,2.6,,,
1964,,,,Jan 31,23,5.2,Feb 28,32,7.1,Mar 31,43,13.0,Apr 29,34,13.2,,,
1965,,,,Jan 27,40,12.6,Feb 24,50,16.7,Apr 03,69,20.8,Apr 26,65,22.9,,,
1966,,,,Jan 27,27,7.1,Feb 24,38,9.3,Mar 30,18,6.1,Apr 25,11,3.1,,,
1967,,,,Jan 31,33,8.7,Feb 27,37,10.8,Mar 30,29,10.3,Apr 28,3,1.5,,,
1968,,,,Jan 29,28,7.4,Jan 31,40,10.8,Mar 29,38,12.5,Apr 30,38,14.2,,,
1969,,,,Jan 31,38,9.2,Feb 27,38,11.6,Mar 28,39,12.3,Apr 29,14,5.9,,,
1970,,,,Jan 30,36,9.9,Feb 26,37,11.4,Mar 30,61,14.4,Apr 29,45,14.6,,,
1971,,,,Jan 27,26,7.2,Feb 25,40,10.9,Mar 29,36,12.4,Apr 29,17,5.9,,,
1972,,,,Jan 31,35,10.1,Feb 29,37,11.0,Mar 29,41,12.6,Apr 26,15,3.2,,,
1973,,,,Jan 29,38,11.0,Feb 27,39,12.5,Mar 28,56,15.8,Apr 27,47,17.8,,,
1974,,,,Jan 30,36,10.8,Feb 25,41,13.2,Mar 25,41,14.5,Apr 29,25,10.9,,,
1975,,,,Jan 30,39,11.0,Feb 27,49,14.6,Mar 27,65,19.9,Apr 30,47,19.9,,,
1976,,,,Jan 29,24,8.2,Feb 25,31,8.4,Mar 31,33,10.8,Apr 30,18,6.5,,,
1977,,,,Jan 28,16,2.8,Feb 28,24,4.2,Mar 31,21,5.8,Apr 29,0,0.0,,,
