#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 06L12: Trout Creek Pass, CO
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Trout Creek Pass (06L12) 
# Colorado  SNOW COURSE/AERIAL MARKER Site - 9720 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:00:51 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1967,,,,Jan 26,17,3.1,Feb 24,20,4.8,Mar 29,9,2.6,Apr 28,0,0.0,,,
1968,,,,Jan 26,14,3.0,Feb 26,16,3.8,Mar 25,21,3.9,Apr 29,5,1.5,,,
1969,,,,Jan 27,18,3.6,Feb 24,17,3.8,Mar 24,20,3.8,Apr 28,0,0.0,,,
1970,,,,Jan 26,20,4.7,Feb 25,24,4.9,Mar 26,29,6.1,Apr 27,28,6.4,,,
1971,,,,Jan 27,8,1.6,Feb 23,14,2.1,Mar 26,7,2.2,Apr 27,1,0.1,,,
1972,,,,Jan 26,22,5.0,Feb 28,23,6.2,Mar 28,19,4.3,Apr 26,0,0.0,,,
1973,,,,Jan 29,23,5.2,Feb 26,21,4.6,Mar 28,29,6.5,Apr 24,27,7.1,,,
1974,,,,Feb 01,21,4.0,Feb 25,23,4.9,Mar 27,21,5.5,Apr 26,0,0.0,,,
1975,,,,Jan 27,20,4.3,Feb 24,27,5.2,Mar 27,30,6.7,Apr 29,18,5.6,,,
1976,,,,Jan 28,14,3.2,Feb 26,18,3.8,Mar 29,22,4.7,Apr 28,0,0.0,,,
1977,,,,Jan 26,2,0.3,Feb 23,6,1.1,Mar 28,0,0.0,Apr 26,0,0.0,,,
1978,,,,Jan 26,10,1.7,Feb 27,10,2.2,Mar 29,6,1.4,Apr 28,0,0.0,,,
1979,,,,Jan 31,28,6.0,Feb 28,26,5.0,Mar 29,36,9.3,Apr 24,14,5.6,,,
1980,,,,Jan 31,24,5.8,Feb 27,24,6.2,Mar 27,28,6.7,Apr 29,19,7.7,,,
1981,,,,Jan 28,8,1.8,Feb 24,9,1.6,Mar 27,13,4.2,Apr 29,0,0.0,,,
