#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 06M19: Hiway, CO
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Hiway (06M19) 
# Colorado  SNOW COURSE/AERIAL MARKER Site - 10750 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:05:35 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1956,,,,Feb 01,82,21.3,Mar 02,78,27.7,Apr 01,73,29.4,May 01,75,30.9,,,
1957,,,,,,,Mar 01,93,32.8,Apr 03,96,36.0,May 01,104,40.7,,,
1958,,,,Jan 31,51,16.6,Feb 28,62,20.9,Mar 31,83,24.7,Apr 30,82,29.2,,,
1959,,,,Jan 29,21,4.9,Feb 26,46,10.7,Mar 30,42,13.5,Apr 29,46,17.0,,,
1960,,,,Jan 28,73,22.7,Mar 03,98,29.3,Mar 29,91,33.8,Apr 27,76,30.0,,,
1961,,,,Jan 26,24,6.7,Feb 26,35,8.8,Mar 30,88,20.9,Apr 27,69,25.1,,,
1962,,,,Jan 29,61,18.2,Mar 01,95,28.7,Mar 28,92,33.7,Apr 30,76,31.9,,,
1963,,,,Jan 28,37,9.8,Feb 25,48,14.2,Mar 29,52,16.0,Apr 29,53,17.6,,,
1964,,,,Jan 29,29,6.6,Feb 27,37,9.4,Mar 27,67,16.0,Apr 27,59,18.8,,,
1965,,,,Jan 27,85,27.4,Feb 25,82,30.3,Mar 30,105,39.9,Apr 27,104,44.3,,,
1966,,,,Jan 28,50,19.4,Feb 25,66,24.2,Mar 30,63,25.6,Apr 25,62,25.7,,,
1967,,,,Jan 30,59,19.3,Feb 27,59,20.1,Mar 29,66,22.3,Apr 27,64,25.4,,,
1968,,,,Jan 31,62,17.3,Feb 28,59,20.0,Mar 28,67,24.9,Apr 29,78,29.5,,,
1969,,,,Jan 30,78,18.8,Feb 27,84,25.2,Mar 26,79,28.4,Apr 29,63,27.6,,,
1970,,,,Jan 29,39,11.7,Feb 26,45,13.3,Mar 30,72,20.0,Apr 28,74,23.4,,,
