#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 08M05: Rico, CO
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Rico (08M05) 
# Colorado  SNOW COURSE/AERIAL MARKER Site - 8700 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:10:25 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1936,,,,,,,,,,Mar 25,36,9.7,Apr 28,0,0.0,,,
1937,,,,,,,,,,Mar 24,42,12.2,Apr 27,0,0.0,,,
1938,,,,,,,,,,Apr 01,42,9.6,Apr 29,0,0.0,,,
1939,,,,,,,Feb 27,27,6.2,Mar 28,8,2.7,Apr 30,0,0.0,,,
1940,,,,Jan 29,22,6.0,Mar 01,34,8.7,Mar 28,17,6.6,Apr 30,0,0.0,,,
1941,,,,Jan 30,27,7.5,Feb 27,36,9.5,Mar 30,34,10.7,Apr 30,19,7.2,,,
1942,,,,Feb 01,15,3.1,Mar 02,27,6.4,Apr 01,26,5.1,May 01,0,0.0,,,
1943,,,,Jan 31,42,9.3,Feb 27,31,10.3,Mar 27,41,13.7,May 01,0,0.0,,,
1944,,,,Feb 01,23,4.2,Mar 01,33,8.0,Mar 31,37,11.5,Apr 30,35,8.5,,,
1945,,,,Jan 30,26,5.6,Feb 26,31,6.9,Mar 30,35,9.4,May 01,3,1.1,,,
1946,,,,Feb 04,19,4.5,Mar 03,12,5.7,Mar 31,0,0.0,Mar 31,0,0.0,,,
1947,,,,Feb 03,20,4.2,Mar 04,31,4.1,Apr 01,16,3.6,May 01,0,0.0,,,
1948,,,,Feb 02,16,4.2,Mar 01,28,7.0,Apr 02,33,10.4,May 01,16,5.4,,,
1949,,,,Feb 03,32,8.5,Mar 01,33,10.8,Apr 04,33,13.5,Apr 28,0,0.0,,,
1950,,,,Jan 31,29,5.5,Feb 28,26,7.8,Mar 31,16,8.0,Apr 30,0,0.0,,,
1951,,,,Feb 01,27,5.0,Feb 28,27,5.7,Mar 29,12,3.4,Apr 29,12,3.2,,,
