#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 11E10: Island Park (Disc), ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Island Park (disc) (11E10) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 6290 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:09:31 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1938,Dec 30,27,6.2,Jan 31,36,8.2,Feb 28,48,12.0,Mar 30,64,19.7,,,,,,
1939,,,,Jan 31,47,10.4,Feb 27,53,14.3,Mar 30,35,11.8,,,,,,
1940,Dec 30,24,5.1,Feb 03,27,5.6,Mar 01,40,10.5,Mar 29,35,12.1,,,,,,
1941,,,,Jan 30,38,8.5,Feb 28,40,10.3,Mar 28,31,9.6,,,,,,
1942,Dec 30,29,4.7,Feb 02,42,9.7,Feb 28,47,13.0,Mar 30,40,13.0,,,,,,
1943,Dec 29,42,9.7,Jan 29,70,18.9,Feb 26,69,23.3,Mar 31,59,20.2,May 04,0,0.0,,,
1944,Dec 29,11,1.0,Jan 29,24,3.7,Feb 27,38,8.1,Mar 29,44,12.0,,,,,,
1945,Dec 30,22,3.0,Jan 30,26,5.3,Feb 27,42,10.7,Mar 29,36,11.4,,,,,,
1946,Dec 29,35,7.7,Jan 30,45,10.4,Feb 27,52,14.0,Mar 28,49,17.2,,,,,,
1947,Dec 31,38,9.2,Jan 29,40,10.3,Feb 26,47,13.7,Mar 29,46,15.5,,,,,,
1948,Dec 31,26,5.5,Jan 29,32,7.7,Feb 27,45,10.5,Mar 30,48,13.8,,,,,,
1949,Dec 29,38,8.5,Jan 29,42,11.3,Feb 27,67,22.5,Mar 26,67,22.8,May 02,32,12.9,,,
1950,Dec 29,31,5.9,Jan 29,49,13.0,Feb 27,50,16.8,Mar 29,64,20.9,,,,,,
1951,Dec 30,20,4.0,Feb 01,36,9.1,Feb 27,57,12.7,Mar 29,52,17.2,,,,,,
1952,Dec 29,53,11.6,Jan 29,68,19.7,Feb 27,75,26.4,Mar 27,83,30.7,,,,,,
