#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 11F18: Packsaddle Spring, ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Packsaddle Spring (11F18) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 8193 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:57:52 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1981,Jan 03,22,7.1,Jan 27,37,9.0,Mar 02,44,14.3,Mar 27,53,16.8,May 01,34,14.6,,,
1982,Dec 28,51,14.3,Jan 28,77,26.4,Mar 02,82,32.7,,,,,,,,,
1983,Dec 29,59,17.6,Jan 31,62,21.5,Mar 03,83,29.5,Apr 01,90,34.2,Apr 28,83,34.0,,,
1984,Dec 28,55,17.4,Jan 30,55,20.0,Feb 28,74,25.9,Mar 29,89,30.8,Apr 30,80,32.1,,,
1985,Dec 27,54,16.4,Jan 30,58,19.8,Feb 27,69,25.0,Mar 26,88,31.0,Apr 29,62,26.0,,,
1986,Dec 30,37,12.7,Jan 30,55,19.1,Feb 26,86,32.3,Mar 27,88,35.6,Apr 30,91,39.5,,,
1987,Dec 31,22,6.0,Jan 29,44,10.8,Feb 26,53,14.8,Mar 30,53,18.4,Sep 01,,9.2,Jun 01,0,0.0
1988,Dec 29,28,7.2,Jan 28,48,14.9,Feb 29,54,19.7,Mar 31,66,24.2,Apr 28,55,22.2,,,
1989,Dec 29,57,15.9,Feb 07,68,25.5,Feb 28,78,29.1,Mar 30,99,36.2,Apr 28,72,30.0,,,
1990,Dec 28,27,7.3,Feb 02,56,15.0,Mar 02,57,19.9,Mar 29,56,19.9,Apr 30,47,18.0,,,
1991,Jan 01,40,10.4,Jan 30,48,14.1,Feb 26,48,15.7,Mar 29,66,22.7,Apr 30,79,26.9,May 31,44,19.9
1992,Dec 31,42,13.3,Jan 29,40,13.4,Feb 27,56,17.8,Mar 30,55,19.2,Apr 28,35,14.2,Jun 01,0,0.0
1993,Jan 06,54,16.1,Feb 03,57,20.6,Feb 27,78,27.0,Mar 31,70,27.0,Apr 30,83,33.0,,,
1994,Jan 01,,7.9,Jan 31,30,10.1,Mar 01,56,17.1,Mar 31,44,16.9,Apr 29,38,14.1,Jun 01,0,0.0
1995,Dec 31,50,15.9,Feb 02,71,25.0,Feb 28,71,27.9,Mar 28,101,35.9,Apr 26,87,36.4,,,
1996,Dec 27,28,8.7,Jan 31,74,21.5,Feb 28,71,24.0,Mar 30,81,29.3,Apr 29,76,31.6,,,
1997,Jan 04,79,25.3,Feb 04,97,34.2,Mar 07,115,41.1,Apr 03,110,44.2,May 03,104,44.7,May 30,42,22.1
1998,Dec 31,25,6.2,Jan 28,57,15.7,Feb 28,64,20.1,Mar 30,64,23.5,Apr 30,63,25.9,,,
1999,Jan 06,39,11.5,Jan 25,74,19.1,Feb 27,89,30.0,Mar 31,83,32.1,May 05,80,33.2,,,
2000,Jan 05,32,7.1,Feb 02,44,13.7,Feb 29,63,19.5,Mar 30,66,24.2,May 01,40,18.5,,,
2001,Jan 03,35,10.0,Feb 02,44,12.7,Feb 27,59,16.6,Mar 31,51,17.9,May 02,44,17.4,,,
2002,Dec 26,34,10.0,Jan 30,56,15.4,Feb 26,53,17.3,Apr 02,57,21.3,Apr 29,56,23.0,,,
2003,Dec 30,36,9.1,Jan 28,49,14.2,Feb 26,56,18.5,Mar 31,64,22.8,Apr 30,61,23.5,,,
2004,,,,Jan 31,68,22.2,Mar 01,73,25.7,Mar 31,61,26.4,Apr 27,51,23.6,,,
2005,Dec 28,29,8.5,Feb 02,42,14.2,Feb 28,52,17.1,Mar 31,71,21.6,Apr 28,55,21.1,,,
2006,Jan 05,64,18.2,Feb 06,80,26.3,Feb 27,76,29.0,Apr 03,100,37.1,May 01,75,33.9,May 31,33,15.0
2007,,,,Jan 30,35,10.0,Feb 28,57,15.5,Apr 03,41,14.2,May 01,29,11.9,,,
2008,Jan 02,41,10.4,,,,Feb 29,65,22.8,Apr 01,85,30.7,Apr 28,71,29.7,,,
2009,,,,Feb 02,53,16.2,Mar 02,52,16.8,Apr 06,82,27.9,Apr 30,66,26.5,,,
2010,Jan 04,26,5.4,Feb 02,41,9.8,Feb 26,44,12.8,Mar 31,56,17.2,Apr 26,53,20.4,,,
2011,Dec 27,50,15.6,Jan 31,59,21.7,Feb 23,72,22.8,Apr 01,88,33.8,Apr 27,107,40.4,,,
2012,Jan 03,27,5.9,Jan 31,45,13.8,Feb 27,60,16.6,Mar 27,64,22.2,May 01,42,18.4,,,
2013,Jan 02,41,12.1,Feb 05,50,15.8,Feb 27,61,18.0,Mar 27,61,23.2,Apr 30,50,20.4,,,
2014,,,,Jan 28,37,10.2,Feb 26,53,17.2,Mar 31,96,29.2,Apr 29,80,30.8,,,
2015,Dec 30,39,9.0,Jan 30,38,12.8,Feb 24,43,14.8,Mar 30,37,15.0,Apr 29,34,13.4,,,
2016,Jan 04,35,9.9,Feb 03,54,16.0,Feb 26,49,17.0,Mar 30,71,23.1,Apr 27,46,19.8,,,
2017,Jan 05,45,12.4,,,,Mar 02,79,25.7,Apr 01,66,27.5,Apr 29,85,32.9,,,
2018,,,,Jan 29,45,13.7,Feb 28,60,17.2,Mar 28,67,22.7,Apr 26,64,26.5,,,
2019,,,,Jan 29,43,12.6,Mar 01,83,24.6,Mar 27,77,29.5,Apr 25,69,30.6,,,
2020,Dec 30,27,6.8,Feb 04,57,17.0,Feb 27,63,21.5,Apr 03,82,27.2,Apr 28,66,27.6,,,
2021,,,,Feb 01,48,14.2,Mar 02,66,20.7,Mar 31,67,23.5,Apr 28,59,24.7,,,
2022,,,,Jan 27,42,13.6,Feb 28,44,14.2,Mar 30,44,16.4,Apr 26,50,19.2,,,
2023,,,,Feb 01,61,18.7,Mar 02,84,26.5,Mar 28,107,31.6,Apr 26,87,35.4,,,
2024,,,,,,,,,,,,,,,,,,
