#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 11G16: Giveout Old (Disc), ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Giveout Old (disc) (11G16) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 6840 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:02:52 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,Jan 01,,3.1,Mar 01,,3.4,May 01,,6.4,Jul 01,,7.7,Sep 01,,0.0,Nov 01,,0.0
1962,Jan 01,,5.9,Mar 01,,7.5,May 01,,9.0,Mar 26,53,17.7,Sep 01,,0.0,Nov 01,,0.0
1963,Dec 27,7,1.4,Jan 28,15,2.7,Feb 26,21,5.9,Mar 27,21,7.8,Apr 29,16,6.4,,,
1964,Dec 30,19,4.4,Jan 31,33,7.8,Feb 24,36,9.1,Mar 30,44,13.4,Sep 01,,8.6,,,
1965,Dec 30,35,8.2,Feb 01,44,14.8,Feb 24,49,16.0,Mar 31,50,17.4,Sep 01,,11.6,,,
1966,Dec 30,24,5.1,Jan 27,29,6.4,Feb 28,35,8.7,Mar 28,33,10.0,Sep 01,,3.7,,,
1967,Dec 28,17,3.7,Jan 31,33,9.5,Feb 27,40,12.5,Mar 30,39,13.5,Apr 28,29,12.1,,,
1968,Dec 27,16,2.8,Jan 29,22,4.7,Feb 28,29,8.2,Mar 27,30,9.9,May 03,0,0.0,Nov 01,,0.0
1969,Dec 26,24,3.9,Jan 29,35,8.8,Feb 26,49,13.1,Mar 26,44,14.5,May 01,0,0.0,Nov 01,,0.0
1970,Dec 31,21,3.9,Jan 28,37,9.3,Feb 25,31,10.9,Mar 30,36,11.5,Sep 01,,10.3,,,
1971,Dec 28,31,7.7,Jan 27,44,14.4,Feb 25,52,15.3,Mar 29,53,18.6,Apr 28,35,14.7,,,
1972,Dec 30,32,6.5,Jan 28,53,15.4,Feb 29,55,18.9,Mar 28,46,19.0,May 01,25,11.6,,,
1973,Dec 27,24,5.4,Jan 26,30,6.5,Feb 26,39,8.2,Mar 27,47,11.5,Apr 26,30,10.8,,,
1974,Jan 02,30,6.2,Jan 30,39,9.6,Feb 28,40,12.0,Mar 27,39,12.1,Apr 29,0,0.0,Nov 01,,0.0
1975,Dec 30,19,4.6,Jan 27,29,7.4,Feb 27,42,12.0,Apr 01,52,14.9,May 01,38,15.5,Nov 01,,0.0
1976,Dec 31,25,6.0,Jan 27,34,8.4,Feb 25,46,12.2,Mar 29,55,16.9,Apr 29,10,4.3,,,
1977,Jan 04,14,2.8,Jan 31,13,2.0,Feb 28,19,3.1,Mar 31,20,4.7,Sep 01,,0.0,Nov 01,,0.0
1978,Dec 28,30,7.8,Jan 30,42,12.9,Mar 02,55,15.6,Mar 28,45,16.7,Apr 27,26,10.6,,,
1979,Dec 27,25,5.7,Jan 29,37,9.0,Feb 27,47,12.6,Mar 27,41,16.2,May 01,19,7.4,,,
1980,Dec 26,13,2.3,Jan 31,38,9.6,Feb 27,43,12.1,Mar 26,45,14.0,Apr 30,15,6.2,,,
1981,Dec 30,11,2.2,Jan 28,18,2.7,Feb 26,24,6.1,Apr 03,22,4.8,Apr 29,0,0.0,Nov 01,,0.0
1982,Jan 04,41,7.6,Jan 27,46,12.3,Feb 24,47,14.9,Mar 29,56,19.0,Apr 30,40,16.4,,,
1983,Dec 29,25,5.4,Jan 28,30,7.1,Mar 02,37,9.7,Apr 01,40,11.9,Apr 28,30,11.1,,,
1984,Jan 01,,8.5,Jan 31,36,10.6,Feb 29,44,12.4,Mar 30,45,14.6,Apr 30,30,13.0,,,
1985,Jan 01,,7.7,Jan 31,36,8.9,Feb 27,45,11.2,Mar 27,50,12.7,May 01,9,3.1,Nov 01,,0.0
1986,Jan 01,,7.9,Jan 29,38,11.4,Feb 26,59,20.9,Mar 26,54,21.0,Apr 30,35,13.7,,,
1987,Jan 01,,1.4,Jan 28,20,3.9,Feb 25,30,6.2,Apr 01,28,7.7,Apr 28,0,0.0,,,
1988,Jan 01,,3.0,Jan 27,30,6.6,Feb 29,33,9.4,Mar 28,38,10.5,Apr 28,5,1.4,Nov 01,,0.0
1989,Jan 01,,4.0,Jan 31,29,7.6,Feb 28,38,10.3,Mar 30,39,12.8,Sep 01,,0.0,,,
1990,Jan 01,,2.7,,,,May 01,,7.1,Jul 01,20,5.3,Sep 01,,0.0,Nov 01,,0.0
1991,Jan 01,,3.1,Mar 01,,4.9,May 01,,5.6,Jul 01,,7.1,Sep 01,,0.0,Jun 01,,0.0
1992,,,,,,,,,,,,,,,,,,
