#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 12E05: Webber Creek, ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Webber Creek (12E05) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 6884 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:04:30 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1960,,,,Feb 01,12,1.6,Mar 01,18,3.7,Mar 29,10,2.3,,,,,,
1961,Dec 29,12,2.0,Jan 31,12,2.2,Feb 28,17,3.2,Mar 30,16,4.2,,,,,,
1962,Dec 29,14,2.9,Jan 29,15,3.0,Feb 28,21,4.5,Mar 29,24,5.4,,,,,,
1963,,,,Jan 28,10,1.4,Feb 25,8,1.1,Mar 29,3,0.6,,,,,,
1964,,,,Jan 27,16,3.0,Feb 27,17,3.1,Mar 25,21,4.0,,,,,,
1965,,,,Jan 27,31,7.7,Feb 26,30,9.6,Mar 29,30,9.4,,,,,,
1966,,,,Jan 27,16,2.4,Feb 25,19,3.3,Mar 29,13,3.9,,,,,,
1967,,,,Jan 31,21,4.0,Mar 02,21,4.8,Mar 28,20,6.0,,,,,,
1968,,,,Feb 01,24,4.8,Feb 29,22,5.9,Apr 01,17,5.0,,,,,,
1969,,,,Jan 29,44,7.8,Feb 28,48,11.5,Mar 26,40,12.2,,,,,,
1970,,,,Jan 29,16,3.0,Feb 26,16,4.0,Mar 27,23,5.1,,,,,,
1971,,,,Jan 28,28,6.9,Feb 25,33,7.9,Mar 30,34,9.2,,,,,,
1972,,,,Jan 25,31,6.3,Feb 28,30,7.2,Mar 30,22,7.0,,,,,,
1973,,,,Jan 31,19,3.1,Feb 26,22,4.1,Apr 02,27,5.8,,,,,,
1974,,,,Mar 01,,3.9,May 01,,4.6,Mar 29,26,7.2,,,,,,
1975,,,,Mar 01,,2.8,Feb 28,22,5.0,Mar 31,31,7.8,,,,,,
1976,,,,Mar 01,,3.4,May 01,,4.0,Jul 01,,4.7,,,,,,
1977,,,,Mar 01,,1.0,May 01,,0.6,Jul 01,,1.1,,,,,,
