#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 12G01: Mink Creek (Disc), ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Mink Creek (disc) (12G01) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 6410 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:08:12 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1945,,,,,,,Mar 03,50,11.6,Apr 02,63,17.2,,,,,,
1946,,,,,,,Feb 25,56,16.7,Apr 02,52,18.2,,,,,,
1947,,,,,,,Mar 01,33,9.6,Apr 01,26,8.4,,,,,,
1948,,,,,,,Feb 28,42,11.0,Mar 31,58,17.1,,,,,,
1949,,,,,,,Feb 28,69,24.2,Mar 31,71,25.8,Apr 29,18,8.1,,,
1950,,,,,,,Mar 01,54,21.9,Apr 01,67,26.8,,,,,,
1951,,,,,,,Feb 28,50,16.9,Apr 02,46,17.2,,,,,,
1952,,,,,,,Feb 29,64,23.4,Apr 01,71,29.0,,,,,,
1953,,,,,,,Mar 03,57,20.2,Apr 02,45,18.5,,,,,,
1954,,,,,,,Mar 02,42,14.2,Mar 30,52,15.2,,,,,,
1955,,,,,,,Mar 03,38,9.1,Mar 30,40,11.8,,,,,,
1956,,,,Jan 31,51,12.5,Feb 27,59,15.9,Mar 27,47,16.9,,,,,,
1957,,,,Feb 01,39,8.7,Mar 01,35,8.6,Mar 26,43,14.9,,,,,,
1958,,,,Jan 31,50,13.6,Feb 25,53,18.3,Mar 31,55,20.1,,,,,,
1959,,,,Jan 28,28,7.0,Feb 25,44,13.0,Mar 30,39,13.9,,,,,,
1960,,,,Feb 01,21,5.0,Feb 24,37,10.7,Mar 31,34,12.6,,,,,,
1961,,,,Jan 30,27,6.9,Feb 28,47,12.5,Mar 30,48,15.5,,,,,,
1962,Jan 02,38,11.8,Feb 01,44,13.6,Feb 28,49,15.3,Mar 30,56,21.3,,,,,,
1963,,,,Jan 29,18,3.5,Feb 27,24,8.8,Mar 27,27,9.0,,,,,,
1964,,,,Jan 29,46,11.9,Feb 27,48,13.9,Mar 30,58,19.5,,,,,,
