#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 12G06: Lower Pebble, ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Lower Pebble (12G06) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 5948 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:03:00 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,Mar 01,,2.9,May 01,,7.7,Jul 01,,8.5,,,,,,
1962,,,,Mar 01,,10.5,May 01,,9.7,Jul 01,,11.1,,,,,,
1963,,,,Mar 01,,0.5,May 01,,3.4,Jul 01,,5.8,,,,,,
1964,,,,Mar 01,,7.5,May 01,,8.8,Jul 01,,13.5,,,,,,
1965,,,,Mar 01,,11.7,May 01,,13.6,Jul 01,,13.3,,,,,,
1966,Jan 04,26,5.6,Feb 05,28,6.9,Feb 24,32,8.2,Mar 28,29,9.5,,,,,,
1967,,,,Feb 01,36,9.8,Feb 28,41,12.6,Mar 30,42,14.2,,,,,,
1968,Dec 28,16,3.8,Jan 31,30,6.5,Feb 27,30,8.4,Mar 27,31,9.8,,,,,,
1969,Dec 30,39,8.5,Jan 29,43,14.0,Feb 28,57,16.9,Mar 27,55,18.0,,,,,,
1970,Dec 29,11,2.5,Jan 29,31,8.8,Feb 26,32,10.6,Mar 31,32,11.8,,,,,,
1971,Dec 30,30,5.9,Jan 28,44,13.0,Feb 26,54,16.0,Mar 30,50,17.2,,,,,,
1972,Jan 03,40,11.5,Jan 27,60,19.8,Feb 29,66,22.8,Mar 28,49,20.5,,,,,,
1973,Dec 27,21,4.8,Jan 30,31,6.8,Feb 27,40,10.9,Mar 29,38,11.5,,,,,,
1974,,,,Jan 29,40,10.8,Feb 27,47,14.9,Mar 26,36,14.0,,,,,,
1975,,,,Jan 27,22,6.7,Feb 27,46,13.4,Mar 31,51,16.9,,,,,,
1976,,,,Jan 28,35,10.0,Feb 28,47,16.2,Mar 30,60,19.5,,,,,,
1977,,,,Feb 01,14,2.5,Feb 28,16,4.2,Apr 01,20,4.5,,,,,,
