#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 12G13: Cliff Canyon (Disc), ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Cliff Canyon (disc) (12G13) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 7200 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:02:47 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,Mar 01,,1.0,May 01,,6.5,Jul 01,,8.1,,,,,,
1962,,,,Mar 01,,7.2,May 01,,8.2,Jul 01,,12.0,,,,,,
1963,,,,Mar 01,,0.0,May 01,,4.2,Jul 01,,3.8,,,,,,
1964,,,,Mar 01,,5.6,May 01,,7.4,Jul 01,,10.8,,,,,,
1965,,,,Mar 01,,8.8,May 01,,8.3,Jul 01,,8.6,,,,,,
1966,,,,Mar 01,,4.7,May 01,,7.6,Jul 01,,5.4,,,,,,
1967,,,,Mar 01,,6.7,May 01,,8.6,Jul 01,,10.2,,,,,,
1968,,,,Mar 01,,1.6,May 01,,5.6,Jul 01,,8.0,,,,,,
1969,,,,Mar 01,,10.1,May 01,,10.9,Jul 01,,11.7,,,,,,
1970,,,,Jan 26,15,4.3,Feb 27,16,5.4,Mar 30,22,7.4,,,,,,
1971,,,,Jan 26,29,9.1,Mar 02,35,9.6,Mar 29,42,14.9,,,,,,
1972,,,,Jan 27,52,15.2,Feb 25,49,15.0,Mar 29,36,14.7,,,,,,
1973,,,,Jan 30,23,5.9,Feb 28,28,7.2,Mar 30,36,10.6,,,,,,
1974,,,,Jan 28,30,7.0,Feb 25,32,9.1,Mar 26,26,9.8,,,,,,
1975,,,,Jan 27,22,6.8,Feb 27,38,10.7,Mar 31,44,13.3,,,,,,
1976,,,,Mar 01,,7.9,Feb 25,28,8.0,Mar 30,35,10.6,,,,,,
1977,,,,Mar 01,,0.0,Feb 28,7,1.2,Mar 30,12,2.8,,,,,,
1978,,,,Jan 31,27,7.2,Feb 24,37,12.3,Mar 30,22,9.5,,,,,,
1979,,,,Mar 01,,4.1,Feb 26,34,8.6,Mar 27,31,11.0,,,,,,
