#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 12G18: Oxford Spring (Disc), ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Oxford Spring (disc) (12G18) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 6740 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:03:03 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,Mar 01,,3.6,May 01,,8.2,Jul 01,,5.5,,,,,,
1962,,,,Mar 01,,9.1,May 01,,9.5,Jul 01,,10.4,,,,,,
1963,,,,Mar 01,,1.8,May 01,,5.0,Jul 01,,5.4,,,,,,
1964,,,,,,,May 01,,7.6,Jul 01,,13.8,,,,,,
1965,,,,Mar 01,,13.9,May 01,,15.7,Jul 01,,12.9,,,,,,
1966,,,,Mar 01,,5.3,May 01,,7.0,Jul 01,,5.8,,,,,,
1967,,,,Mar 01,,6.0,May 01,,9.9,Jul 01,,8.6,,,,,,
1968,,,,Mar 01,,6.4,May 01,,9.9,Jul 01,,9.6,,,,,,
1969,,,,Mar 01,,9.6,May 01,,14.7,Jul 01,,15.1,,,,,,
1970,,,,Mar 01,,10.4,May 01,,9.9,Jul 01,,10.0,,,,,,
1971,,,,Mar 01,,11.4,May 01,,13.0,Jul 01,,14.0,,,,,,
1972,,,,Mar 01,,12.7,May 01,,14.3,Jul 01,,16.7,,,,,,
1973,,,,Mar 01,,9.4,May 01,,11.3,Jul 01,,14.0,,,,,,
1974,,,,Mar 01,,9.1,May 01,,11.7,Jul 01,,9.4,,,,,,
1975,,,,Mar 01,,7.6,May 01,,12.4,Jul 01,,14.5,,,,,,
1976,,,,,,,May 01,,12.8,Jul 01,,13.8,,,,,,
1977,,,,Mar 01,,1.8,May 01,,1.0,Jul 01,,4.1,,,,,,
1978,,,,Mar 01,,11.9,May 01,,14.0,Jul 01,,8.6,,,,,,
1979,,,,,,,May 01,,14.6,Jul 01,,13.9,,,,,,
1980,,,,,,,May 01,,12.9,Jul 01,,13.7,,,,,,
1981,Jan 01,,2.8,Mar 01,,4.0,Feb 23,11,3.4,Jul 01,,5.5,,,,,,
