#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 13E08: Borah (Disc), ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Borah (disc) (13E08) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 8250 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:02:45 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,,,,May 01,,4.1,Jul 01,,4.8,,,,,,
1962,,,,,,,May 01,,5.2,Jul 01,,5.9,,,,,,
1963,Dec 31,1,0.2,Feb 04,2,0.4,May 01,,4.2,Jul 01,,4.8,Apr 29,0,0.0,,,
1964,Dec 30,13,2.8,Jan 30,23,4.4,Mar 03,23,5.5,Apr 03,24,6.3,May 04,17,5.1,,,
1965,Jan 08,24,4.8,Feb 01,22,5.4,Mar 03,27,8.7,Apr 05,27,9.6,May 03,6,2.1,,,
1966,Jan 07,9,1.4,Jan 27,16,3.6,Mar 04,20,4.4,Mar 27,15,4.2,Apr 29,0,0.0,,,
1967,,,,Jan 30,12,2.1,Feb 28,12,2.8,Apr 02,24,6.3,May 02,36,11.7,,,
1968,Jan 03,12,2.7,Feb 02,16,2.9,Mar 01,17,4.4,Apr 08,16,4.3,May 03,6,2.0,,,
1969,,,,,,,Mar 02,16,4.5,Apr 02,14,4.4,May 05,0,0.0,,,
1970,,,,,,,Mar 05,14,3.7,Apr 06,24,6.5,,,,,,
1971,,,,,,,Mar 02,24,6.0,Apr 02,29,8.4,,,,,,
1972,,,,,,,May 01,,6.4,Apr 03,24,8.2,,,,,,
1973,,,,,,,Mar 06,14,2.8,Apr 04,24,4.5,,,,,,
1974,,,,,,,May 01,,7.2,Apr 04,17,5.2,,,,,,
1975,,,,,,,May 01,,5.3,Jul 01,,6.4,,,,,,
1976,,,,,,,Mar 03,25,6.6,Mar 31,27,6.8,,,,,,
1977,,,,,,,Feb 28,0,0.0,Apr 04,11,1.7,,,,,,
1978,,,,,,,Mar 01,24,8.1,Mar 28,16,5.1,,,,,,
1979,,,,,,,May 01,,3.9,Mar 30,20,4.6,,,,,,
1980,,,,,,,Mar 01,18,5.0,Mar 29,27,7.3,,,,,,
1981,,,,,,,Feb 27,13,3.0,Mar 31,18,4.7,,,,,,
1982,,,,,,,Feb 26,16,5.0,Apr 02,37,9.8,,,,,,
1983,,,,,,,Mar 03,16,5.1,Apr 01,28,8.4,,,,,,
1984,,,,,,,Mar 01,24,6.2,Apr 02,27,8.1,,,,,,
1985,,,,,,,Feb 27,22,4.4,Apr 01,23,6.3,,,,,,
1986,,,,,,,Feb 28,21,5.5,Mar 31,24,8.2,,,,,,
1987,,,,,,,Feb 27,18,3.6,Apr 01,24,5.5,,,,,,
1988,,,,,,,Feb 27,12,3.3,Mar 31,18,5.0,,,,,,
1989,,,,,,,Mar 01,22,5.7,Apr 01,38,11.8,,,,,,
1990,,,,,,,Feb 25,8,1.6,Mar 30,18,4.5,,,,,,
1991,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,
