#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 13E26: Morse Creek Sawmill, ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Morse Creek Sawmill (13E26) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 7120 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:00:18 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1969,,,,,,,,,,Mar 26,35,9.2,,,,,,
1970,,,,,,,,,,Apr 01,41,11.5,,,,,,
1971,,,,,,,,,,Mar 27,36,9.6,,,,,,
1972,,,,,,,,,,Mar 30,25,9.2,,,,,,
1973,,,,,,,,,,Mar 29,37,8.5,,,,,,
1974,,,,,,,,,,Mar 29,27,8.2,,,,,,
1975,,,,,,,,,,Apr 02,43,12.5,,,,,,
1976,,,,,,,,,,Apr 01,43,12.0,,,,,,
1977,,,,,,,,,,Apr 01,23,4.0,,,,,,
1978,,,,,,,,,,Mar 28,27,10.2,,,,,,
1979,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,Mar 29,37,9.7,,,,,,
1981,,,,,,,,,,Mar 31,31,8.1,,,,,,
1982,,,,,,,Feb 26,31,9.2,Apr 02,42,11.0,,,,,,
1983,,,,,,,,,,Apr 01,38,11.2,,,,,,
1984,,,,,,,Mar 01,35,9.6,Apr 02,39,11.3,,,,,,
1985,,,,,,,Feb 27,29,5.9,Apr 01,29,7.9,,,,,,
1986,,,,,,,Feb 26,42,11.5,Mar 25,33,12.0,,,,,,
1987,,,,,,,Feb 28,26,5.2,Mar 28,28,7.0,,,,,,
1988,,,,,,,Feb 27,24,5.0,Mar 27,27,8.1,,,,,,
1989,,,,,,,Mar 02,29,6.4,Mar 29,26,8.8,,,,,,
1990,,,,,,,Feb 27,20,3.6,Mar 30,20,5.7,,,,,,
1991,,,,,,,Feb 28,20,4.4,Mar 29,37,7.3,,,,,,
1992,,,,,,,Mar 02,24,6.2,Apr 01,15,3.0,,,,,,
1993,,,,,,,Mar 01,29,5.3,Mar 31,19,6.0,,,,,,
1994,,,,,,,Feb 23,28,5.6,Apr 01,24,7.6,,,,,,
1995,,,,,,,Feb 27,27,8.0,Mar 27,30,9.9,,,,,,
1996,,,,,,,Feb 28,27,6.5,Mar 28,32,9.0,,,,,,
1997,,,,,,,Feb 26,38,10.6,Mar 28,36,10.9,,,,,,
1998,,,,,,,Feb 25,30,7.3,Mar 31,22,7.1,,,,,,
1999,,,,,,,Feb 25,35,8.2,Mar 31,24,8.4,,,,,,
2000,,,,,,,Mar 02,31,9.1,Mar 29,27,8.3,,,,,,
2001,,,,,,,Mar 01,25,5.4,Mar 27,16,4.9,,,,,,
2002,,,,,,,Feb 26,29,6.4,Mar 28,28,8.2,,,,,,
2003,,,,,,,Feb 27,30,7.4,Mar 27,33,9.0,,,,,,
2004,,,,,,,Feb 27,31,7.7,Mar 30,15,5.6,,,,,,
2005,,,,,,,Mar 02,21,4.5,Mar 31,18,5.4,,,,,,
2006,,,,,,,Feb 28,32,9.2,Mar 28,36,11.0,,,,,,
2007,,,,,,,,,,Mar 28,20,6.2,,,,,,
2008,,,,,,,Feb 28,30,8.0,Mar 28,36,9.1,,,,,,
2009,,,,,,,,,,Apr 01,41,11.4,,,,,,
2010,,,,,,,Feb 25,30,6.5,,,,,,,,,
2011,,,,,,,Mar 01,28,7.1,Mar 30,34,9.3,,,,,,
2012,,,,,,,Feb 29,30,7.8,,,,,,,,,
2013,,,,,,,Feb 27,27,6.0,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,
2016,,,,,,,Mar 02,27,6.6,,,,,,,,,
2017,,,,,,,,,,Mar 31,24,8.8,,,,,,
2018,,,,,,,Feb 28,24,6.0,Apr 03,25,6.5,,,,,,
2019,,,,,,,,,,Apr 02,29,9.1,,,,,,
2020,,,,,,,Mar 02,29,7.1,Mar 31,35,9.1,,,,,,
2021,,,,,,,,,,Apr 01,27,8.0,,,,,,
2022,,,,,,,Feb 28,19,4.0,Apr 01,11,3.2,,,,,,
2023,,,,,,,Mar 02,29,6.2,Mar 30,44,9.2,,,,,,
2024,,,,,,,,,,,,,,,,,,
