#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 13G01: Howell Canyon (Disc), ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Howell Canyon (disc) (13G01) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 7980 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:07:18 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1949,Jan 03,60,16.8,Feb 01,69,23.6,Feb 28,87,33.0,Apr 02,99,41.2,,,,,,
1950,Dec 31,22,5.6,Feb 02,67,20.4,Mar 02,68,26.4,,,,,,,,,
1951,,,,Feb 02,78,25.2,Mar 03,106,36.2,Mar 30,94,36.7,,,,,,
1952,,,,Feb 03,80,26.6,Mar 04,83,29.0,Apr 03,94,35.6,,,,,,
1953,,,,Feb 01,68,22.2,Mar 03,83,29.2,Apr 01,71,29.4,,,,,,
1954,,,,Feb 01,52,16.0,Mar 02,55,19.0,Mar 31,70,24.2,,,,,,
1955,,,,Feb 01,45,9.6,Mar 04,56,16.2,Mar 28,75,25.0,,,,,,
1956,,,,,,,Mar 05,95,32.4,Apr 03,74,32.0,,,,,,
1957,,,,,,,Mar 02,63,18.4,Apr 04,81,27.6,,,,,,
1958,Jan 07,47,14.8,Feb 03,71,22.0,Feb 26,83,29.2,Apr 01,87,34.8,,,,,,
1959,Dec 30,19,5.2,Jan 27,35,8.8,Feb 28,50,15.2,Mar 27,43,16.5,,,,,,
1960,Dec 30,5,1.1,Jan 30,20,4.9,Feb 28,45,11.1,Mar 31,44,17.5,Apr 30,27,12.4,,,
1961,Dec 31,30,8.8,Jan 28,29,8.6,Feb 28,54,16.4,Mar 25,62,22.4,May 01,32,14.1,,,
1962,Dec 30,47,15.2,Feb 02,53,18.3,Feb 28,64,22.4,Mar 25,77,30.2,May 02,31,15.0,,,
1963,Dec 27,14,3.2,Feb 01,26,7.8,Feb 25,33,11.5,Mar 25,40,12.4,Apr 29,49,22.8,,,
1964,Dec 28,32,8.2,Jan 25,59,17.2,Feb 28,58,20.2,Mar 29,69,26.1,May 02,65,27.3,,,
