#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 14E07: Redfish Lake Flat (Disc), ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Redfish Lake Flat (disc) (14E07) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 6560 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:03:05 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,,,,May 01,,6.7,Jul 01,,9.4,,,,,,
1962,,,,,,,May 01,,10.7,Jul 01,,12.3,,,,,,
1963,,,,,,,May 01,,7.8,Jul 01,,9.4,,,,,,
1964,,,,,,,May 01,,10.4,Jul 01,,12.4,,,,,,
1965,,,,,,,May 01,,20.1,Jul 01,,21.6,,,,,,
1966,,,,,,,May 01,,7.5,Jul 01,,8.1,,,,,,
1967,,,,,,,May 01,,9.0,Jul 01,,11.4,,,,,,
1968,,,,,,,May 01,,7.7,Jul 01,,8.5,,,,,,
1969,,,,,,,May 01,,15.2,Jul 01,,16.1,,,,,,
1970,,,,,,,May 01,,11.4,Jul 01,,15.2,,,,,,
1971,,,,,,,May 01,,16.5,Jul 01,,20.2,,,,,,
1972,,,,,,,May 01,,16.5,Jul 01,,16.1,,,,,,
1973,,,,,,,May 01,,5.0,Jul 01,,5.7,,,,,,
1974,,,,,,,May 01,,12.2,Mar 28,53,16.4,,,,,,
1975,,,,,,,May 01,,9.6,Mar 31,43,12.7,,,,,,
1976,,,,,,,Mar 01,54,12.9,Apr 02,49,14.8,,,,,,
1977,,,,,,,Mar 01,11,1.6,Mar 31,18,3.9,,,,,,
1978,,,,,,,Feb 27,46,13.6,Mar 29,31,12.7,,,,,,
1979,,,,,,,Feb 28,36,7.6,Mar 30,22,6.3,,,,,,
1980,,,,,,,Feb 28,38,11.9,Mar 26,43,14.4,,,,,,
1981,,,,,,,Feb 24,19,6.5,Mar 27,24,7.2,,,,,,
1982,,,,,,,Feb 24,40,13.4,Mar 30,46,15.6,,,,,,
1983,,,,,,,Feb 28,47,13.0,Mar 28,44,15.9,,,,,,
1984,,,,,,,Feb 28,39,9.7,Mar 27,38,11.8,,,,,,
1985,,,,,,,Feb 28,43,11.5,Mar 29,45,12.5,,,,,,
1986,,,,Feb 03,36,9.7,Mar 01,48,14.4,Apr 02,38,13.8,,,,,,
1987,,,,,,,Feb 27,26,5.9,Apr 03,14,6.2,,,,,,
1988,,,,,,,Mar 01,27,6.8,Mar 31,29,9.5,,,,,,
1989,,,,,,,Mar 01,29,9.0,Mar 30,31,10.2,,,,,,
1990,,,,,,,Mar 05,28,7.0,Apr 02,18,6.4,,,,,,
1991,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,
