#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 14F07: Mascot Mine (Disc), ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Mascot Mine (disc) (14F07) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 7780 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:10:34 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1936,Dec 31,18,2.8,Jan 31,37,9.4,Feb 29,60,16.2,Mar 31,57,17.6,,,,,,
1937,Dec 31,10,2.0,Jan 31,21,4.2,Mar 01,32,8.8,Apr 01,47,12.8,,,,,,
1938,Dec 31,29,6.6,Jan 31,34,9.6,Feb 28,62,19.0,Mar 31,83,24.6,,,,,,
1939,Jan 01,18,4.2,Feb 01,34,6.4,Mar 01,40,10.4,Apr 01,25,8.2,,,,,,
1940,Jan 01,11,3.4,Feb 01,25,5.4,Mar 01,55,12.2,Apr 01,50,16.2,May 01,28,11.0,,,
1941,,,,,,,Mar 02,40,10.2,Mar 29,32,9.4,Apr 29,24,8.4,,,
1942,,,,,,,Feb 28,35,9.2,Mar 31,41,11.6,,,,,,
1943,,,,,,,Feb 27,78,25.0,Mar 30,73,24.8,,,,,,
1944,,,,,,,,,,Apr 01,28,7.6,,,,,,
1945,,,,,,,Feb 28,40,10.3,Apr 04,30,11.4,,,,,,
1946,,,,,,,Mar 03,49,13.4,Apr 01,57,18.6,,,,,,
1947,,,,,,,Feb 28,58,17.4,Apr 01,54,18.2,,,,,,
1948,,,,,,,Mar 04,45,12.2,Apr 02,49,13.9,,,,,,
1949,,,,Jan 27,38,10.8,,,,Mar 29,48,16.5,Apr 29,17,6.2,,,
1950,,,,Feb 02,53,12.4,Mar 01,47,15.4,Apr 04,56,20.1,,,,,,
1951,,,,,,,Mar 02,55,16.9,Apr 03,57,19.6,,,,,,
1952,,,,,,,Feb 29,66,20.4,Apr 02,68,24.4,,,,,,
1953,,,,,,,Mar 03,45,13.0,Apr 02,41,15.1,,,,,,
1954,,,,,,,Mar 03,57,18.2,Apr 02,60,20.4,,,,,,
