#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 15E08: Cozy Cove (Disc), ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Cozy Cove (disc) (15E08) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 5380 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:07:15 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1949,Dec 29,37,10.1,Jan 29,43,12.6,Feb 26,67,21.2,Mar 29,50,18.9,Apr 28,17,7.2,,,
1950,Dec 28,24,4.0,Jan 30,53,13.2,Feb 26,51,16.8,Mar 29,69,24.3,Apr 26,40,16.8,,,
1951,Dec 27,17,4.6,Jan 28,45,12.4,Feb 26,52,16.0,Mar 29,51,18.8,Apr 27,16,7.2,,,
1952,Dec 29,58,12.9,Jan 27,67,19.2,Feb 25,72,23.1,Mar 27,62,23.0,Apr 27,31,14.9,,,
1953,Dec 27,35,8.0,Jan 26,47,15.0,Feb 23,60,20.0,Mar 26,58,20.1,Apr 26,31,13.3,,,
1954,Dec 28,19,4.1,Jan 25,48,12.0,Feb 25,56,16.4,Mar 29,54,18.9,Apr 30,13,6.7,,,
1955,Jan 05,26,4.7,Jan 27,26,5.7,Feb 25,39,8.0,Mar 31,46,14.0,Apr 29,36,14.6,,,
1956,Dec 27,35,9.1,Jan 28,61,17.9,Feb 27,76,24.1,Mar 27,52,21.0,Apr 27,18,8.0,,,
1957,Dec 28,22,4.8,Jan 28,39,6.1,Feb 26,48,12.2,Mar 27,48,15.3,Apr 28,25,9.1,,,
1958,Dec 29,43,10.0,Jan 27,48,13.4,Feb 24,49,16.7,Mar 27,53,18.3,Apr 27,46,17.8,,,
1959,Dec 28,21,4.1,Jan 29,39,7.9,Feb 26,50,14.1,Mar 28,41,13.6,Apr 28,12,4.6,,,
1960,Dec 29,18,3.4,Jan 29,28,7.1,Feb 27,43,12.0,Mar 29,33,11.5,Apr 30,7,2.0,,,
1961,Dec 28,23,4.3,Jan 29,24,5.3,Feb 26,35,8.6,Mar 29,34,11.0,Apr 30,3,1.0,Nov 01,,0.0
