#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 16A05: Schweitzer Ridge (Disc), ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Schweitzer Ridge (disc) (16A05) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 6200 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:03:07 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,Jan 01,,21.2,Mar 01,,29.1,May 01,,36.7,Jul 01,,50.8,Sep 01,,51.4,Nov 01,,34.4
1962,Jan 01,,28.1,Mar 01,,38.7,May 01,,39.4,Jul 01,,51.2,Sep 01,,42.9,Nov 01,,31.8
1963,Jan 01,,17.0,Mar 01,,21.8,May 01,,24.1,Jul 01,,26.9,Sep 01,,37.4,Nov 01,,26.0
1964,Dec 30,73,23.6,Jan 29,108,34.0,Feb 27,106,41.2,Mar 31,137,55.8,Apr 29,128,56.2,Nov 01,,47.7
1965,Dec 29,87,21.2,Jan 29,109,38.2,Feb 26,117,44.4,Mar 30,121,48.2,Apr 30,105,46.6,May 28,75,38.0
1966,Dec 28,66,13.2,Jan 28,91,28.6,Mar 01,103,34.2,Mar 28,126,48.8,Apr 29,101,46.6,May 27,51,26.6
1967,Dec 30,73,23.0,Jan 28,120,38.6,Feb 28,121,47.2,Apr 01,142,56.8,Apr 28,150,61.2,May 31,93,48.4
1968,Dec 29,49,15.8,Jan 26,72,22.4,Feb 27,98,37.0,Mar 29,107,41.2,Apr 29,108,44.8,May 31,56,27.0
1969,Dec 27,103,29.6,Jan 30,159,51.8,Feb 28,143,55.6,Mar 26,153,61.6,Apr 30,146,65.2,May 29,75,39.6
1970,Dec 30,45,11.8,Jan 30,81,23.0,Feb 27,94,32.6,Mar 31,100,39.4,Apr 30,111,42.8,May 28,56,27.8
1971,Dec 31,97,27.8,Jan 28,107,38.8,Feb 25,111,42.0,Mar 30,143,56.6,Apr 28,129,59.0,May 28,77,38.8
1972,Dec 30,88,26.4,Jan 28,114,39.4,Mar 01,123,49.2,Mar 30,115,51.7,Apr 28,124,57.4,May 31,61,34.0
1973,Dec 27,58,15.0,Jan 30,82,25.4,Feb 27,88,31.2,Mar 29,91,34.0,May 01,81,35.4,May 29,35,17.6
1974,Dec 28,104,33.8,Jan 29,141,54.0,Mar 01,167,61.8,Mar 27,149,66.2,Apr 30,149,69.6,May 31,122,59.8
1975,Dec 31,94,30.5,Jan 30,124,43.7,Feb 28,154,60.4,Mar 27,171,70.3,Apr 29,152,69.1,Nov 01,,59.5
1976,Dec 30,52,19.3,Feb 02,71,27.6,Mar 02,119,40.3,Mar 30,126,44.9,Sep 01,,54.4,May 27,50,24.3
1977,Dec 29,25,6.0,Jan 27,32,10.2,Feb 25,37,11.5,Mar 30,64,21.3,Apr 29,32,14.2,May 25,0,0.0
1978,Dec 29,78,26.2,Feb 01,107,39.2,Feb 27,106,42.3,Mar 30,102,48.4,Apr 28,103,51.1,May 31,71,40.0
1979,Jan 02,39,11.9,Jan 30,50,15.6,Mar 01,103,30.8,Apr 02,81,32.0,Apr 27,90,37.1,May 25,32,16.7
1980,Jan 03,60,19.7,Jan 31,92,38.4,Feb 28,104,42.8,Mar 26,123,52.4,May 01,80,42.8,May 30,11,5.4
1981,Dec 30,48,19.2,Jan 27,49,20.1,Mar 02,75,29.2,Mar 31,90,38.1,May 01,66,30.4,May 29,26,13.2
1982,Dec 30,56,18.0,Jan 29,87,31.5,Mar 02,118,44.6,Apr 01,134,54.5,Apr 30,136,61.3,Jun 01,79,41.8
1983,Dec 28,79,26.3,Feb 01,100,40.0,Mar 01,123,49.0,Mar 31,137,57.1,Apr 28,126,58.7,May 31,55,30.6
1984,Jan 01,,17.9,Mar 01,,24.3,Mar 01,90,34.6,Mar 29,107,42.7,Apr 29,97,43.6,May 31,81,40.6
1985,Dec 27,90,29.2,Mar 01,,30.7,Mar 01,102,39.8,Apr 02,112,46.3,Apr 29,89,41.4,May 29,26,13.4
1986,Dec 30,43,15.7,Jan 30,72,23.3,Feb 28,78,29.7,Mar 31,76,32.3,Apr 30,76,32.1,May 30,10,5.7
1987,Dec 29,52,17.9,Jan 29,69,24.1,Feb 27,90,34.7,Mar 31,111,42.5,Apr 29,80,43.0,May 28,17,9.2
1988,Dec 31,48,15.7,Jan 29,69,23.6,Feb 25,76,28.5,Mar 30,97,36.5,May 02,71,31.9,Jun 02,14,7.5
1989,Jan 01,,18.5,Jan 30,83,30.5,Feb 28,94,35.0,Mar 29,116,45.0,May 01,82,39.8,May 31,30,16.2
1990,Jan 01,,10.6,Mar 01,,30.2,Mar 01,104,39.2,Mar 30,97,38.8,May 02,82,37.8,,,
1991,Jan 01,,20.7,Mar 01,,28.0,May 01,,34.6,Jul 01,,42.3,,,,Nov 01,,28.5
1992,,,,,,,,,,,,,,,,,,
