#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 16C02: Moscow Mountain, ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Moscow Mountain (16C02) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 4410 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:05:28 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1957,Dec 28,10,3.0,Feb 01,37,9.0,Mar 02,36,11.3,Mar 30,39,14.0,Apr 27,21,9.0,,,
1958,Jan 04,36,10.9,Feb 01,59,17.5,Mar 01,55,20.8,Mar 29,55,20.3,May 03,35,16.2,,,
1959,Jan 03,22,5.1,Jan 31,36,10.7,Feb 28,48,13.5,Mar 28,49,16.9,Apr 25,27,9.7,,,
1960,Jan 02,14,2.6,Jan 30,22,5.5,Feb 27,38,11.4,Mar 26,34,11.5,Apr 30,16,6.8,,,
1961,Dec 31,30,7.4,Feb 01,35,9.6,Feb 25,38,11.2,Apr 01,41,14.9,Apr 29,22,9.2,,,
1962,Dec 30,41,12.0,Feb 03,40,14.3,Mar 03,58,15.9,Mar 31,66,22.9,Apr 28,14,5.9,,,
1963,Dec 29,4,1.0,Jan 28,13,3.2,Feb 28,14,3.5,Mar 30,20,5.6,Apr 27,13,4.9,,,
1964,Dec 30,24,6.1,Jan 31,59,16.1,Feb 28,58,20.2,Mar 28,75,28.3,May 02,47,19.3,,,
1965,Dec 31,35,8.6,Jan 31,49,15.8,Feb 27,54,18.3,Mar 27,63,19.1,May 01,14,5.8,,,
1966,Dec 31,23,4.2,Jan 30,48,14.0,Feb 26,56,18.4,Apr 02,50,18.9,Apr 30,25,10.6,,,
1967,Dec 29,15,3.3,Jan 27,37,9.6,Feb 25,39,11.9,Mar 29,49,14.6,May 01,42,14.8,,,
1968,Dec 30,15,3.7,Jan 30,26,6.4,Mar 02,17,6.1,Mar 30,11,4.5,Apr 28,0,0.0,,,
1969,Dec 26,33,7.5,Feb 08,69,19.6,Mar 01,66,22.6,Apr 04,50,21.3,May 01,28,12.1,,,
