#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 16C15: Elk Butte Old (Disc), ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Elk Butte Old (disc) (16C15) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 5380 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:02:51 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,Jan 01,,13.0,Mar 01,,22.7,May 01,,30.4,Jul 01,,40.0,Sep 01,,38.0,Nov 01,,16.6
1962,Jan 01,,18.0,Mar 01,,30.6,May 01,,35.0,Jul 01,,43.4,Sep 01,,29.4,Nov 01,,14.7
1963,Jan 01,,7.0,Mar 01,,13.0,Feb 27,41,13.3,Apr 02,51,22.6,Apr 28,48,19.5,Nov 01,,0.0
1964,Dec 26,56,17.0,Jan 28,98,31.0,Feb 25,105,38.5,Mar 30,132,52.7,Apr 28,119,53.2,May 29,52,28.0
1965,Jan 01,,17.6,Feb 02,103,32.4,Feb 23,111,42.5,Mar 30,110,45.9,May 08,63,31.6,May 27,0,0.0
1966,Jan 06,68,16.7,Jan 29,85,28.8,Mar 03,89,31.2,Mar 28,93,38.2,Apr 29,54,25.6,May 28,0,0.0
1967,Jan 01,,12.6,Jan 30,93,32.0,Feb 28,104,41.9,Mar 25,110,42.4,Apr 27,102,42.4,May 27,55,25.4
1968,Jan 01,,14.9,Mar 01,,22.2,Feb 28,56,24.5,Apr 01,56,24.6,Apr 30,49,23.9,Jun 01,0,0.0
1969,Jan 01,,24.1,Mar 01,,31.6,Mar 01,104,38.6,Mar 27,90,38.7,May 03,62,28.3,May 28,0,0.0
1970,Jan 01,,7.0,Mar 01,,20.8,Feb 25,96,33.0,Apr 06,105,39.6,May 04,95,41.1,Jun 01,0,0.0
1971,Jan 01,,17.7,Mar 01,,37.8,Mar 02,103,36.4,Apr 01,125,48.4,Apr 26,107,47.2,Nov 01,,23.6
1972,Jan 01,,28.0,Mar 01,,40.3,Mar 08,159,60.9,Mar 31,129,55.0,Apr 28,109,49.3,May 28,69,36.6
