#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 16E19: Mesa Ditch, ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Mesa Ditch (16E19) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 3366 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:50:07 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
2003,Jan 01,0,0.0,Feb 01,0,0.0,Mar 01,0,0.0,Apr 01,0,0.0,,,,,,
2004,,,,Jan 30,24,5.5,Mar 01,13,4.3,Apr 01,0,0.0,,,,,,
2005,Dec 31,0,0.0,Jan 31,6,1.3,Mar 01,0,0.0,Apr 01,0,0.0,,,,,,
2006,Jan 01,3,0.9,Feb 01,27,5.5,Mar 01,10,3.5,Mar 31,0,0.0,,,,,,
2007,Jan 02,2,0.3,Jan 31,3,0.7,Mar 01,10,1.6,Apr 01,0,0.0,,,,,,
2008,Jan 01,16,3.9,Feb 03,39,9.5,Mar 02,21,7.6,Mar 31,9,4.2,,,,,,
2009,Jan 01,23,2.0,Feb 01,16,1.4,Mar 01,6,1.0,Apr 01,0,0.0,,,,,,
2010,Jan 03,14,2.9,Jan 31,19,5.4,Feb 28,10,3.7,Mar 29,0,0.0,,,,,,
2011,Jan 02,29,6.9,Feb 01,20,5.5,Mar 02,13,5.2,Apr 01,0,0.0,,,,,,
2012,Jan 01,0,0.0,Feb 01,0,0.0,Mar 01,5,0.7,Apr 01,0,0.0,,,,,,
2013,Jan 01,4,0.6,Jan 30,10,2.6,Mar 01,10,2.8,Apr 01,0,0.0,,,,,,
2014,Dec 27,2,0.3,Jan 31,4,1.3,Mar 02,0,0.0,Apr 01,0,0.0,,,,,,
2015,Jan 01,6,1.2,Feb 01,7,1.8,Mar 01,0,0.0,Apr 01,0,0.0,,,,,,
2016,Jan 01,11,2.2,Feb 01,17,4.3,Feb 29,0,0.0,Apr 01,0,0.0,,,,,,
2017,Jan 01,25,5.0,Feb 01,36,8.9,Feb 28,23,7.7,Mar 31,0,0.0,,,,,,
2018,Jan 01,0,0.0,Feb 01,0,0.0,Feb 28,10,1.4,Apr 01,0,0.0,,,,,,
2019,Jan 01,9,1.7,,,,Mar 01,14,5.5,Apr 01,0,0.0,,,,,,
2020,Jan 01,10,1.2,Feb 02,10,2.5,Mar 01,0,0.0,Apr 01,0,0.0,,,,,,
2021,Jan 03,7,1.5,Jan 31,13,3.5,Feb 28,21,5.5,Apr 01,0,0.0,,,,,,
2022,,,,Feb 02,14,3.3,Feb 25,8,2.0,Apr 01,0,0.0,,,,,,
2023,Dec 27,9,2.4,Jan 31,9,2.3,Mar 01,9,2.8,,,,,,,,,
2024,,,,,,,,,,,,,,,,,,
