#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 17E02: Thorson Cabin, ID
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Thorson Cabin (17E02) 
# Idaho  SNOW COURSE/AERIAL MARKER Site - 5320 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:03:09 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,,,,May 01,,12.4,Jul 01,,15.0,,,,,,
1962,,,,,,,May 01,,12.2,Jul 01,,13.9,,,,,,
1963,,,,,,,May 01,,8.0,Jul 01,,6.9,,,,,,
1964,,,,,,,May 01,,11.3,Jul 01,,13.4,,,,,,
1965,,,,,,,May 01,,16.4,Jul 01,,14.1,,,,,,
1966,,,,,,,May 01,,10.4,Jul 01,,11.5,,,,,,
1967,,,,,,,May 01,,13.1,Jul 01,,14.6,,,,,,
1968,,,,,,,May 01,,11.7,Mar 26,30,10.7,,,,,,
1969,,,,,,,May 01,,17.3,Mar 25,54,20.2,,,,,,
1970,,,,,,,Feb 24,41,14.5,Mar 25,46,15.8,,,,,,
1971,,,,,,,Feb 22,50,17.5,Mar 31,50,17.9,,,,,,
1972,,,,,,,Feb 24,47,15.8,Mar 28,39,15.9,,,,,,
1973,,,,Jan 29,27,9.1,Feb 27,33,9.8,Mar 30,37,13.3,,,,,,
1974,,,,,,,Feb 27,55,17.7,Apr 01,50,19.1,,,,,,
1975,,,,,,,Feb 26,54,16.0,Apr 02,67,22.6,,,,,,
1976,,,,,,,Feb 27,45,12.9,Apr 02,47,16.0,,,,,,
1977,,,,,,,Feb 27,13,2.8,Apr 03,16,4.7,,,,,,
1978,,,,Jan 28,44,13.9,Feb 26,43,16.0,Apr 01,32,15.2,,,,,,
1979,,,,,,,Feb 25,49,14.4,Mar 28,38,13.4,,,,,,
1980,,,,,,,Feb 28,34,14.0,Mar 27,47,18.0,,,,,,
1981,,,,,,,May 01,,11.4,Mar 29,31,11.4,,,,,,
1982,,,,,,,Feb 25,46,16.2,Mar 27,53,21.0,,,,,,
1983,,,,,,,May 01,,15.7,Mar 28,54,19.3,,,,,,
1984,,,,,,,May 01,,12.5,Mar 31,54,21.4,,,,,,
1985,,,,,,,Feb 24,47,14.6,Mar 31,52,16.7,,,,,,
1986,,,,,,,Mar 02,41,14.6,Apr 01,22,9.0,,,,,,
1987,,,,,,,Mar 01,32,9.8,Mar 29,0,0.0,,,,,,
1988,,,,,,,Feb 27,28,8.6,Apr 01,21,7.2,,,,,,
1989,,,,,,,Mar 01,67,24.4,Apr 01,44,19.4,,,,,,
1990,,,,,,,Mar 01,31,10.9,Mar 29,29,10.2,,,,,,
1991,,,,,,,Feb 24,19,5.8,Mar 31,27,9.0,,,,,,
1992,,,,,,,Mar 01,24,9.0,Mar 29,0,0.0,,,,,,
1993,,,,,,,Feb 26,57,17.2,Mar 28,30,12.6,,,,,,
1994,,,,,,,Feb 27,46,12.8,Mar 28,29,10.6,,,,,,
1995,,,,,,,Feb 27,43,13.6,Apr 01,35,12.8,,,,,,
1996,,,,,,,Mar 02,29,8.2,Mar 31,30,9.8,,,,,,
1997,,,,,,,Feb 24,39,12.0,Mar 31,31,11.4,,,,,,
1998,,,,,,,Mar 02,54,18.1,Mar 30,40,16.4,,,,,,
1999,,,,,,,Feb 28,76,23.4,Mar 31,60,22.6,,,,,,
2000,,,,,,,Mar 01,52,18.0,Apr 03,42,10.8,,,,,,
2001,,,,,,,Feb 28,31,10.2,Mar 31,19,8.2,,,,,,
2002,,,,,,,Mar 01,43,17.0,Mar 30,49,21.0,,,,,,
2003,,,,,,,Feb 27,27,9.4,Mar 28,23,8.6,,,,,,
