#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 09C03: Rock Creek, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Rock Creek (09C03) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 5600 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:01:04 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1966,,,,,,,,,,Apr 01,14,5.1,Apr 29,4,1.5,,,
1967,,,,,,,Mar 02,35,10.1,Mar 31,43,12.3,May 04,38,13.2,May 31,0,0.0
1968,,,,,,,Mar 01,33,10.4,Apr 01,29,11.4,May 01,17,7.2,,,
1969,,,,,,,Feb 27,25,6.3,Mar 27,25,7.0,Apr 29,0,0.0,,,
1970,,,,,,,Feb 25,34,9.4,Apr 02,56,16.0,May 03,72,22.2,Jun 01,0,0.0
1971,,,,,,,Mar 01,29,7.4,Apr 02,35,10.6,Apr 30,12,4.8,,,
1972,,,,,,,Feb 29,28,7.8,Mar 31,33,7.4,May 03,3,1.0,,,
1973,,,,,,,Mar 01,24,6.4,Mar 30,34,8.2,Apr 30,46,15.3,,,
1974,,,,,,,Mar 01,24,6.9,Apr 01,23,8.4,May 01,0,0.0,,,
1975,,,,,,,Mar 03,31,10.3,Apr 01,51,13.8,May 01,51,17.0,,,
1976,,,,,,,Mar 01,29,8.2,Apr 02,29,9.9,Apr 30,5,1.1,,,
1977,,,,,,,Feb 25,42,9.4,Apr 05,68,18.7,Apr 28,22,8.6,,,
1978,,,,,,,Feb 24,46,13.4,Mar 24,41,13.9,May 02,7,2.9,,,
1979,,,,,,,Feb 27,38,11.2,Mar 29,29,10.4,May 01,16,5.0,,,
1980,,,,,,,Feb 28,27,7.4,Apr 01,53,13.8,Apr 25,0,0.0,,,
1981,,,,,,,Feb 26,18,7.0,Mar 30,17,6.7,May 01,0,0.0,,,
1982,,,,,,,Feb 23,20,6.4,Mar 31,18,5.8,Apr 28,16,6.0,,,
1983,,,,,,,Feb 22,28,7.5,Mar 28,25,7.4,Apr 25,3,1.2,,,
1984,,,,,,,Feb 29,41,11.6,Mar 29,50,16.6,Apr 25,28,10.2,,,
1985,,,,,,,Feb 26,47,12.8,Mar 25,45,13.0,Apr 26,22,8.6,,,
1986,,,,,,,Feb 26,24,6.2,Mar 27,15,5.0,Apr 25,0,0.0,,,
1987,,,,,,,Feb 24,23,4.7,Mar 30,33,7.0,Apr 29,0,0.0,,,
1988,,,,,,,Feb 25,32,9.0,Mar 31,39,12.8,Apr 28,7,2.7,,,
1989,,,,,,,Feb 23,33,9.3,Mar 29,32,10.2,Apr 27,11,2.6,,,
1990,,,,,,,Feb 27,37,13.2,Mar 27,40,15.6,Apr 30,22,4.4,,,
1991,,,,,,,Feb 26,32,8.4,Mar 27,33,10.6,Apr 30,51,15.8,,,
1992,,,,,,,Feb 27,28,8.1,Mar 31,6,2.3,Apr 30,0,0.0,,,
1993,,,,,,,Feb 26,37,8.8,Mar 29,24,7.5,Apr 27,0,0.0,,,
1994,,,,,,,Feb 28,34,10.4,Mar 31,27,11.0,Apr 28,4,0.6,,,
1995,,,,,,,Feb 28,21,6.1,Mar 31,44,10.3,Apr 27,22,8.4,,,
1996,,,,,,,Mar 01,22,3.6,Mar 27,28,6.6,Apr 30,0,0.0,,,
1997,,,,,,,Feb 26,36,8.8,Mar 31,28,9.2,Apr 30,28,11.0,,,
1998,,,,,,,Feb 24,23,5.2,Mar 26,23,6.4,Apr 24,6,2.0,,,
1999,,,,,,,Feb 26,35,8.6,Apr 02,24,6.4,Apr 30,6,1.6,,,
2000,,,,,,,Feb 29,31,8.1,Mar 31,34,9.2,Apr 28,0,0.0,,,
2001,,,,,,,Feb 27,34,9.1,Mar 29,29,8.6,Apr 26,16,5.7,,,
2002,,,,,,,Mar 01,41,7.6,Mar 27,30,8.5,May 01,17,6.2,,,
2003,,,,,,,Feb 26,35,9.8,Mar 25,27,9.6,Apr 29,0,0.0,,,
2004,,,,,,,Feb 26,38,11.5,Mar 26,31,11.5,Apr 30,7,1.2,,,
2005,,,,,,,Feb 23,18,4.6,Mar 30,21,7.1,Apr 29,12,3.2,,,
2006,,,,,,,Mar 02,37,12.2,Mar 29,35,12.8,Apr 27,9,4.5,,,
2007,,,,,,,Feb 28,36,10.0,Mar 27,7,2.2,Apr 30,0,0.0,,,
2008,,,,,,,Feb 26,34,9.5,Mar 25,32,10.4,Apr 24,29,10.2,,,
2009,,,,,,,Feb 27,30,7.2,Mar 26,28,8.2,Apr 28,15,4.2,,,
2010,,,,,,,Feb 24,51,15.0,Mar 30,31,10.4,May 01,,4.4,,,
2011,,,,,,,Feb 23,43,11.7,Mar 30,39,14.4,Apr 28,47,18.1,,,
2012,,,,,,,Feb 29,40,10.1,Mar 29,21,7.4,Apr 24,0,0.0,,,
