#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 09D13: Picket Pin Lower, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Picket Pin Lower (09D13) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 6200 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:59:37 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1972,,,,Feb 02,8,0.9,Mar 01,0,0.0,Apr 04,0,0.0,,,,,,
1973,Jan 04,11,1.5,Feb 03,8,1.8,Mar 05,6,1.7,Mar 30,16,4.6,May 02,21,6.4,,,
1974,Dec 30,6,0.8,Feb 02,0,0.0,Mar 01,0,0.0,Apr 02,0,0.0,May 03,0,0.0,Jun 03,0,0.0
1975,Jan 02,7,1.7,Feb 03,14,3.6,Mar 03,13,4.2,Apr 02,24,7.0,May 01,18,6.8,Jun 01,0,0.0
1976,Jan 03,10,2.0,Feb 02,10,2.4,Mar 01,19,3.2,Mar 30,13,4.3,May 02,9,2.0,May 31,0,0.0
1977,,,,,,,,,,Mar 31,2,0.3,Apr 28,0,0.0,,,
1978,,,,,,,,,,Mar 31,0,0.0,,,,,,
1979,,,,,,,,,,Jul 01,,3.0,,,,,,
1980,,,,,,,,,,Jul 01,,3.0,,,,,,
1981,,,,,,,,,,Apr 01,0,0.0,,,,,,
1982,,,,,,,,,,Mar 30,9,2.0,,,,,,
1983,,,,,,,,,,Mar 30,13,3.4,,,,,,
1984,,,,,,,,,,Mar 28,18,5.4,,,,,,
1985,,,,,,,,,,Mar 28,20,5.4,,,,,,
1986,,,,,,,,,,Mar 25,0,0.0,,,,,,
1987,,,,,,,,,,Mar 26,20,5.6,,,,,,
1988,,,,,,,,,,Mar 29,15,3.4,,,,,,
1989,,,,,,,,,,Mar 29,12,3.2,,,,,,
1990,,,,,,,,,,Mar 29,16,5.4,,,,,,
1991,,,,,,,,,,Mar 29,18,4.2,,,,,,
1992,,,,,,,,,,Mar 24,12,2.9,,,,,,
1993,,,,,,,,,,Mar 31,6,1.0,,,,,,
1994,,,,,,,,,,Mar 30,10,1.8,,,,,,
1995,,,,,,,,,,Mar 29,4,0.3,,,,,,
1996,,,,,,,,,,Mar 25,12,3.0,,,,,,
1997,,,,,,,,,,Mar 26,9,2.8,,,,,,
1998,,,,,,,,,,Mar 25,0,0.0,,,,,,
1999,,,,,,,,,,Mar 30,0,0.0,,,,,,
2000,,,,,,,,,,Mar 29,13,2.9,,,,,,
2001,,,,,,,,,,Mar 29,17,4.1,,,,,,
2002,,,,,,,,,,Mar 28,17,3.3,,,,,,
2003,,,,,,,,,,Mar 27,23,4.8,,,,,,
2004,,,,,,,Mar 02,28,3.7,Mar 29,0,0.0,Apr 30,0,0.0,,,
2005,,,,,,,Feb 24,0,0.0,Mar 29,0,0.0,Apr 27,4,0.2,,,
2006,,,,,,,Feb 24,9,1.3,Mar 31,0,0.0,Apr 25,6,0.6,,,
2007,,,,,,,Feb 28,10,2.1,Mar 30,0,0.0,Apr 27,0,0.0,,,
2008,,,,,,,Feb 26,16,2.5,Mar 25,13,3.2,Apr 29,0,0.0,,,
2009,,,,,,,Feb 24,1,0.1,Mar 27,22,5.6,Apr 28,24,6.5,,,
2010,,,,,,,Feb 23,13,1.3,Mar 30,1,0.1,Apr 28,0,0.0,,,
2011,,,,,,,Feb 23,19,4.3,Mar 29,21,5.7,Apr 28,10,3.4,,,
2012,,,,,,,,,,,,,Apr 25,0,0.0,,,
