#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 09D14: Bots Sots, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Bots Sots (09D14) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 7750 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:03:17 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,,,,May 01,,3.9,Jul 01,,5.6,Sep 01,,2.9,,,
1962,,,,,,,May 01,,9.6,Jul 01,,10.1,Sep 01,,8.0,,,
1963,,,,,,,May 01,,6.4,Jul 01,,7.7,Sep 01,,11.7,,,
1964,,,,,,,May 01,,6.9,Jul 01,,8.2,Sep 01,,17.2,,,
1965,,,,,,,May 01,,7.5,Jul 01,,10.3,Sep 01,,11.4,,,
1966,,,,,,,May 01,,3.7,Jul 01,,6.7,Sep 01,,7.0,,,
1967,,,,,,,May 01,,9.3,Jul 01,,10.6,Sep 01,,12.0,,,
1968,,,,,,,May 01,,8.7,Jul 01,,10.0,Sep 01,,11.3,,,
1969,,,,,,,May 01,,6.0,Jul 01,,7.5,Sep 01,,5.1,,,
1970,,,,,,,May 01,,6.2,Jul 01,,11.5,Sep 01,,17.4,,,
1971,,,,,,,May 01,,6.9,Jul 01,,8.9,Sep 01,,9.2,,,
1972,,,,,,,May 01,,8.6,Jul 01,,10.0,Sep 01,,10.7,,,
1973,,,,,,,Mar 02,25,4.6,Apr 02,56,11.2,May 02,62,20.8,,,
1974,,,,,,,Feb 25,20,4.6,Mar 29,27,7.7,Apr 30,30,11.4,,,
1975,,,,,,,Feb 28,36,10.0,Mar 31,46,11.0,May 01,42,13.7,,,
1976,,,,,,,Mar 02,37,8.8,Apr 01,32,8.3,May 03,34,12.0,,,
1977,,,,,,,Feb 28,16,3.5,Apr 01,33,5.4,Apr 29,9,3.0,,,
1978,,,,,,,Feb 25,28,5.2,Apr 01,16,5.3,Apr 28,4,1.3,,,
1979,,,,,,,Mar 01,34,6.1,Mar 29,32,7.0,Apr 30,22,7.6,,,
1980,,,,,,,Mar 03,25,6.7,Mar 28,39,9.2,Apr 30,19,6.8,,,
1981,,,,,,,Feb 27,9,2.5,Mar 31,11,3.6,May 01,0,0.0,,,
1982,,,,,,,Feb 24,19,5.0,Mar 29,25,6.8,Apr 27,24,8.2,,,
1983,,,,,,,Feb 23,26,5.8,Mar 29,36,8.3,Apr 26,31,10.2,,,
1984,,,,,,,Feb 27,30,5.9,Mar 27,41,8.6,May 01,58,14.6,,,
1985,,,,,,,Feb 28,27,6.9,Mar 27,28,7.5,Apr 29,5,1.8,,,
1986,,,,,,,Feb 27,24,6.2,Mar 24,28,7.0,Apr 30,18,4.7,,,
1987,,,,,,,Feb 23,21,4.1,Mar 25,25,6.0,Apr 27,2,0.8,,,
1988,,,,,,,Feb 26,24,5.6,Mar 30,31,7.4,Apr 28,13,3.9,,,
1989,,,,,,,Mar 01,28,5.5,Mar 28,25,6.6,Apr 27,16,3.6,,,
1990,,,,,,,Feb 27,26,6.0,Mar 30,28,7.2,Apr 26,6,0.8,,,
1991,,,,,,,Feb 26,25,5.0,Mar 26,35,7.6,Apr 29,49,14.9,,,
1992,,,,,,,Feb 28,22,5.3,Mar 26,28,7.6,Apr 28,9,2.9,,,
1993,,,,,,,Feb 24,22,4.0,Mar 30,20,4.4,Apr 29,21,6.3,,,
1994,,,,,,,Feb 24,27,6.8,Mar 31,29,7.5,Apr 28,20,2.5,,,
1995,,,,,,,Feb 27,29,7.0,Mar 28,28,7.1,Apr 26,45,10.0,,,
1996,,,,,,,Feb 29,40,9.6,Mar 28,47,12.0,Apr 29,35,10.2,,,
1997,,,,,,,Feb 28,44,10.6,Mar 27,36,13.0,Apr 29,29,10.7,,,
1998,,,,,,,Feb 23,47,7.7,Mar 31,22,8.7,Apr 28,12,5.1,,,
1999,,,,,,,Feb 26,19,4.4,Mar 31,17,5.0,Apr 29,32,9.3,,,
2000,,,,,,,Feb 24,22,6.8,Mar 28,30,6.9,Apr 26,13,4.3,,,
2001,,,,,,,Feb 26,18,3.1,Mar 30,23,4.1,Apr 27,11,2.9,,,
2002,,,,,,,Feb 28,21,3.0,Mar 29,26,5.9,Apr 25,14,4.8,,,
2003,,,,,,,Feb 27,29,6.7,Mar 31,42,11.3,Apr 24,22,8.0,,,
2004,,,,,,,Mar 01,40,4.2,Mar 25,18,5.2,Apr 27,0,0.0,,,
2005,,,,,,,Feb 25,16,2.8,Apr 01,21,5.2,Apr 29,19,4.3,,,
2006,,,,,,,Feb 22,25,5.2,Mar 28,22,5.6,Apr 24,5,0.5,,,
2007,,,,,,,Feb 23,21,4.7,Mar 27,9,3.2,Apr 26,11,3.4,,,
2008,,,,,,,,,,Mar 28,35,7.8,Apr 30,18,5.5,,,
2009,,,,,,,Feb 25,18,4.4,Mar 24,20,6.7,Apr 30,20,6.2,,,
2010,,,,,,,Feb 25,17,2.5,Mar 31,19,3.2,Apr 29,0,0.0,,,
2011,,,,,,,Feb 27,30,7.8,Mar 25,41,10.8,Apr 25,31,10.0,,,
2012,,,,,,,Feb 24,39,9.8,Mar 28,15,6.0,Apr 27,0,0.0,,,
2013,,,,,,,Feb 26,26,4.4,Apr 03,18,4.3,Apr 26,14,3.8,,,
2014,,,,,,,Feb 26,41,10.4,Mar 25,45,14.4,Apr 29,25,9.7,,,
2015,,,,,,,Feb 24,30,8.3,Mar 29,9,3.1,Apr 24,0,0.0,,,
2016,,,,,,,Feb 23,9,2.0,Mar 30,9,1.2,Apr 28,0,0.0,,,
2017,,,,,,,Feb 23,29,4.4,Mar 29,7,1.0,Apr 27,4,0.1,,,
2018,,,,,,,Feb 27,29,7.0,Mar 29,25,6.8,Apr 27,14,5.0,,,
2019,,,,,,,Feb 28,39,7.7,Mar 26,28,7.8,Apr 25,10,1.2,,,
2020,,,,,,,Feb 26,21,5.0,Mar 27,21,4.5,Apr 29,4,1.5,,,
2021,,,,,,,,,,Mar 31,13,4.1,Apr 27,6,2.0,,,
2022,,,,,,,Feb 26,18,3.8,Mar 30,7,2.1,Apr 26,11,3.3,,,
2023,,,,,,,Feb 27,20,4.0,Mar 29,44,8.3,Apr 25,18,6.9,,,
2024,,,,,,,,,,,,,,,,,,
