#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 09D17: Willow Creek, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Willow Creek (09D17) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 6500 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:03:55 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,,,,,,,Jul 01,,5.0,,,,,,
1962,Jan 01,,8.4,Mar 01,,11.0,May 01,,13.5,Jul 01,,14.4,,,,,,
1963,Jan 01,,3.4,Mar 01,,5.8,May 01,,7.9,Jul 01,,9.1,,,,,,
1964,Jan 01,,1.5,Mar 01,,2.4,May 01,,5.9,Jul 01,,7.8,,,,,,
1965,Jan 01,,3.9,Mar 01,,5.5,May 01,,10.2,Jul 01,,12.6,,,,,,
1966,Jan 01,,2.9,Mar 01,,3.7,May 01,,4.1,Jul 01,,7.3,,,,,,
1967,Jan 01,,4.5,Mar 01,,6.4,May 01,,8.8,Jul 01,,12.4,,,,,,
1968,Jan 01,,5.7,Mar 01,,7.5,May 01,,9.2,Jul 01,,11.6,,,,,,
1969,Jan 01,,3.3,Mar 01,,4.2,May 01,,4.7,Jul 01,,6.2,,,,,,
1970,Jan 01,,5.3,Mar 01,,5.4,May 01,,6.9,Jul 01,,11.3,,,,,,
1971,Jan 01,,3.8,Mar 01,,6.2,May 01,,7.9,Jul 01,,12.5,,,,,,
1972,Jan 01,,9.6,Mar 01,,10.9,May 01,,13.0,Jul 01,,14.7,,,,,,
1973,Jan 01,,4.9,Mar 01,,6.0,May 01,,7.0,Jul 01,,11.8,,,,,,
1974,,,,,,,Mar 01,19,5.0,Apr 01,24,8.1,May 01,1,0.4,,,
1975,Dec 24,16,3.3,Jan 31,34,7.6,Feb 27,31,8.2,Mar 28,39,9.2,Apr 30,39,12.5,May 29,4,1.4
1976,Dec 31,23,5.4,Feb 02,30,8.1,Feb 27,34,9.5,Mar 31,38,11.0,Apr 29,24,6.7,,,
1977,Dec 29,9,1.5,Jan 28,19,3.8,Mar 01,22,4.8,Mar 31,43,9.7,Apr 25,2,0.5,,,
1978,Dec 28,20,3.4,Jan 30,29,6.0,Feb 28,35,7.7,Mar 30,20,5.9,Apr 28,0,0.0,,,
1979,Jan 02,29,6.2,Jan 31,35,7.4,Feb 28,35,8.6,Mar 29,39,11.0,May 01,23,7.8,,,
1980,Dec 31,16,3.0,Jan 29,30,6.2,Feb 28,32,8.6,Mar 27,46,11.2,,,,,,
1981,Dec 31,0,0.0,Jan 29,0,0.0,Feb 25,12,3.6,Mar 30,14,4.4,Apr 28,0,0.0,,,
1982,Dec 28,14,3.2,Jan 28,20,4.0,Feb 26,22,5.6,Mar 25,43,8.2,Apr 28,25,8.3,,,
1983,Dec 30,25,4.4,Jan 28,22,4.6,Feb 25,27,5.8,Mar 28,34,8.2,Apr 27,21,5.2,,,
1984,Dec 29,19,4.1,Jan 26,25,5.5,Feb 24,34,7.4,Mar 29,36,10.0,May 02,47,12.6,,,
1985,Dec 31,15,2.9,Jan 31,24,4.2,Feb 26,29,5.7,Apr 01,30,9.4,Apr 25,0,0.0,,,
1986,Dec 30,15,3.7,Jan 29,19,4.4,Feb 26,24,6.4,Mar 27,24,7.3,Apr 29,5,1.4,,,
1987,Dec 30,14,2.8,Jan 27,20,4.4,Feb 25,30,6.0,Mar 30,37,8.8,Apr 27,0,0.0,,,
1988,Dec 28,9,1.1,Jan 28,10,2.0,Feb 23,24,4.1,Mar 28,25,6.9,Apr 27,12,3.1,,,
1989,Dec 29,14,2.9,Jan 30,17,3.9,Feb 28,34,6.0,Mar 30,29,6.4,Apr 28,11,1.7,,,
1990,,,,,,,Feb 26,22,5.7,Mar 28,30,7.4,Apr 27,0,0.0,,,
1991,,,,,,,Feb 25,22,4.5,Mar 27,28,7.3,Apr 25,38,12.0,,,
1992,,,,,,,Feb 27,18,4.4,Mar 25,22,5.2,,,,,,
1993,,,,,,,Feb 23,18,3.5,Mar 29,10,2.0,Apr 29,10,3.1,,,
1994,,,,,,,Feb 23,23,5.0,Mar 30,28,6.7,Apr 26,13,1.2,,,
1995,,,,,,,Feb 28,18,4.6,Mar 30,23,4.9,Apr 27,25,5.8,,,
1996,,,,,,,Mar 01,27,7.0,Mar 26,32,9.4,Apr 29,13,4.0,,,
1997,,,,,,,Feb 24,36,8.8,Mar 28,33,9.8,Apr 29,23,7.2,,,
1998,,,,,,,Feb 23,20,5.4,Mar 26,19,6.0,Apr 28,6,0.3,,,
1999,,,,,,,Feb 25,15,3.9,Mar 29,9,2.2,Apr 29,14,3.6,,,
2000,,,,,,,Feb 22,18,4.2,Mar 28,22,6.2,Apr 25,7,2.4,,,
2001,,,,,,,Feb 23,18,4.2,Mar 27,18,4.0,Apr 27,11,2.8,,,
2002,,,,,,,Feb 27,12,2.0,Mar 27,20,4.4,Apr 25,14,3.8,,,
2003,,,,,,,Feb 26,30,8.2,Mar 26,32,9.2,Apr 25,11,3.2,,,
2004,,,,,,,Mar 01,32,6.4,Mar 26,17,4.5,Apr 28,1,0.1,,,
2005,,,,,,,Feb 23,7,1.4,Mar 28,15,4.6,Apr 26,0,0.0,,,
2006,,,,,,,Feb 23,23,5.8,Mar 30,21,5.8,Apr 24,7,0.6,,,
2007,,,,,,,Feb 26,19,3.6,Mar 29,11,1.2,Apr 26,0,0.0,,,
2008,,,,,,,Feb 25,25,4.4,Mar 24,25,6.3,Apr 28,16,5.3,,,
2009,,,,,,,Feb 23,20,4.6,Mar 26,30,6.4,Apr 27,27,7.4,,,
2010,,,,,,,Feb 22,23,3.8,Mar 29,20,5.2,Apr 28,0,0.0,,,
2011,,,,,,,Feb 22,25,5.6,Mar 28,33,9.0,Apr 27,29,8.6,,,
