#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 10B02: Highwood Divide, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Highwood Divide (10B02) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 5650 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:59:17 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1974,Dec 28,29,4.3,Feb 01,30,8.1,Mar 11,33,9.9,Apr 01,31,10.0,May 01,0,0.0,,,
1975,Jan 02,14,3.5,Jan 31,27,6.5,Feb 28,28,7.3,Mar 31,45,11.0,Apr 30,46,13.5,May 30,6,2.7
1976,Jan 06,25,5.8,Feb 05,28,7.6,Feb 27,32,8.7,Mar 29,31,10.9,,,,May 28,0,0.0
1977,Dec 28,23,5.2,Jan 25,29,8.0,Feb 22,29,8.6,Apr 04,50,13.0,Apr 28,0,0.0,May 27,0,0.0
1978,Dec 28,24,6.5,,,,Feb 27,44,13.0,Mar 31,28,10.3,Apr 28,0,0.0,May 25,0,0.0
1979,Dec 21,21,4.2,Jan 30,31,7.1,,,,Mar 29,25,8.3,Apr 30,19,6.8,May 31,0,0.0
1980,Dec 28,0,0.0,Jan 28,19,4.4,Feb 26,23,6.5,,,,,,,Jun 10,0,0.0
1981,,,,Jan 29,9,1.2,,,,Apr 10,20,6.4,Apr 30,0,0.0,Jun 02,0,0.0
1982,,,,,,,,,,,,,,,,,,
1983,Dec 28,24,5.2,Jan 28,21,5.3,Feb 28,22,7.2,Mar 30,22,7.0,,,,May 27,0,0.0
1984,,,,,,,,,,,,,,,,,,
1985,,,,,,,,,,,,,,,,,,
1986,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,
1988,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,,
1991,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,,,,,,,,,,
1993,,,,,,,,,,,,,,,,,,
1994,,,,,,,,,,,,,,,,,,
1995,,,,,,,,,,,,,,,,,,
1996,,,,,,,,,,,,,,,,,,
1997,,,,,,,,,,,,,,,,,,
1998,,,,,,,,,,,,,,,,,,
1999,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,
2004,,,,Jan 29,13,2.8,Feb 27,17,4.8,Mar 29,9,3.8,,,,,,
2005,,,,Jan 27,0,0.0,Feb 28,0,0.0,Mar 29,10,2.7,,,,,,
2006,,,,Jan 30,12,3.5,Feb 27,14,3.8,Mar 30,10,3.1,,,,,,
2007,,,,Jan 30,4,0.6,Feb 27,14,2.8,Mar 29,5,0.6,,,,,,
2008,,,,Feb 01,17,3.2,Feb 28,19,4.9,Mar 26,20,5.7,,,,,,
2009,,,,Jan 29,9,1.9,Feb 23,10,3.2,Mar 27,7,2.2,,,,,,
2010,,,,Jan 29,14,3.1,Feb 25,17,4.2,Mar 31,9,2.5,,,,,,
2011,,,,Jan 26,18,5.3,Feb 24,27,6.6,Mar 29,29,8.5,,,,,,
2012,,,,Jan 26,10,3.3,Feb 24,23,4.9,Mar 28,23,8.1,,,,,,
2013,,,,Jan 31,11,2.2,Feb 25,18,4.4,Mar 28,15,4.3,,,,,,
2014,,,,Jan 29,18,4.1,Feb 27,25,6.3,Mar 26,30,8.7,,,,,,
2015,,,,Jan 29,7,2.0,Feb 26,12,2.0,Mar 30,0,0.0,,,,,,
2016,,,,Jan 27,23,4.9,Feb 23,16,4.3,Mar 29,10,2.7,,,,,,
2017,,,,Jan 31,6,1.2,Feb 27,10,1.2,Mar 30,0,0.0,,,,,,
2018,,,,Jan 29,6,1.4,Feb 27,18,4.0,Mar 29,18,5.0,,,,,,
2019,,,,Jan 30,17,3.5,Feb 27,28,5.9,Mar 28,19,5.7,,,,,,
2020,,,,Jan 30,9,2.0,Feb 27,19,4.5,,,,,,,,,
2021,,,,Jan 27,4,0.9,Feb 25,13,2.7,Mar 25,7,1.9,,,,,,
2022,,,,Jan 28,8,1.4,Feb 22,10,1.9,Mar 30,0,0.0,,,,,,
2023,,,,Jan 31,20,4.2,Feb 27,23,6.2,Mar 31,26,6.8,,,,,,
2024,,,,,,,,,,,,,,,,,,
