#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 10C05: Bald Ridge, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Bald Ridge (10C05) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 7500 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:03:13 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,,,,Feb 28,34,8.1,Mar 24,31,9.0,,,,,,
1962,,,,,,,Feb 27,44,10.6,Mar 27,44,13.6,,,,,,
1963,,,,,,,Feb 26,35,10.2,Mar 26,37,10.3,,,,,,
1964,,,,,,,Feb 28,49,12.3,Mar 30,52,16.0,,,,,,
1965,,,,,,,Mar 01,53,16.9,Mar 26,56,18.0,Apr 28,50,19.5,,,
1966,,,,,,,Mar 02,36,7.9,Mar 30,33,10.7,Apr 29,30,10.7,,,
1967,,,,,,,Mar 01,37,11.4,Mar 28,50,16.9,May 02,53,19.2,,,
1968,,,,,,,Feb 26,45,12.7,Mar 28,50,15.6,May 02,44,16.1,,,
1969,,,,,,,Feb 28,37,11.0,Mar 28,37,11.9,May 02,10,3.1,,,
1970,,,,,,,Feb 26,45,14.0,Apr 02,64,19.7,Apr 30,79,23.8,,,
1971,,,,,,,Feb 23,40,11.7,Mar 31,59,17.2,Apr 29,52,19.2,,,
1972,,,,,,,Mar 03,39,11.3,Mar 30,46,12.1,Apr 28,34,13.4,,,
1973,,,,,,,Feb 28,32,8.3,Mar 29,42,10.9,May 01,44,13.7,,,
1974,,,,,,,Feb 28,31,8.6,Mar 28,42,13.2,May 02,30,11.0,,,
1975,,,,,,,Feb 28,45,13.2,Mar 31,61,17.4,Apr 29,67,20.0,,,
1976,,,,,,,Feb 27,42,13.0,Mar 30,47,15.3,Apr 30,46,15.7,,,
1977,,,,,,,Feb 28,40,9.9,Mar 31,57,14.4,Apr 29,20,7.8,,,
1978,,,,,,,Feb 23,48,14.2,Mar 29,38,14.9,Apr 28,28,12.8,,,
1979,,,,,,,Mar 05,48,13.4,Mar 27,47,14.5,Apr 27,47,17.5,,,
1980,,,,,,,Feb 26,32,7.9,Mar 25,44,12.2,Apr 29,17,6.7,,,
1981,,,,,,,Feb 25,24,6.7,Apr 03,37,10.3,May 01,16,6.8,,,
1982,,,,,,,Mar 01,34,10.3,Mar 26,44,13.3,Apr 30,45,17.0,,,
1983,,,,,,,Feb 24,32,8.6,Mar 30,38,10.0,Apr 26,29,9.4,,,
1984,,,,,,,Feb 29,42,10.5,Mar 30,54,15.6,May 01,45,16.0,,,
1985,,,,,,,Feb 28,36,9.1,Mar 29,58,13.6,Apr 29,18,6.6,,,
1986,,,,,,,Feb 26,32,7.8,Mar 26,33,9.7,May 01,19,6.8,,,
1987,,,,,,,Feb 24,24,5.0,Mar 31,29,8.3,Apr 28,0,0.0,,,
1988,,,,,,,Feb 25,28,7.6,Mar 31,38,11.6,Apr 29,22,9.1,,,
1989,,,,,,,Mar 03,51,11.2,Mar 30,46,13.9,Apr 28,42,12.0,,,
1990,,,,,,,Feb 23,29,8.3,Mar 30,37,11.6,Apr 30,29,5.9,,,
1991,,,,,,,May 01,,7.8,Mar 25,40,11.2,Sep 01,,16.0,,,
1992,,,,,,,May 01,,8.4,Mar 30,26,8.8,,,,,,
1993,,,,,,,,,,Mar 31,29,8.2,,,,,,
1994,,,,,,,,,,Apr 01,26,7.3,,,,,,
1995,,,,,,,,,,Mar 30,57,14.0,,,,,,
1996,,,,,,,,,,Mar 31,52,13.8,,,,,,
1997,,,,,,,,,,Mar 26,54,19.4,,,,,,
1998,,,,,,,,,,Mar 26,31,9.1,,,,,,
1999,,,,,,,,,,Mar 30,33,11.3,,,,,,
2000,,,,,,,,,,Mar 31,36,9.7,,,,,,
2001,,,,,,,,,,Apr 01,,10.0,,,,,,
2002,,,,,,,,,,Mar 27,33,8.1,,,,,,
2003,,,,,,,Feb 25,36,9.2,Jul 01,,12.2,,,,,,
2004,,,,,,,,,,Mar 30,30,11.1,,,,,,
2005,,,,,,,,,,Jul 01,,9.3,,,,,,
2006,,,,,,,,,,Mar 31,48,15.2,,,,,,
2007,,,,,,,,,,Jul 01,,8.1,,,,,,
2008,,,,,,,,,,Mar 27,37,10.1,,,,,,
2009,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,
2011,,,,Feb 09,40,10.0,,,,Mar 30,52,14.5,,,,,,
