#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 10C11: Haymaker, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Haymaker (10C11) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 8050 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:03:34 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,,,,,,,Apr 01,,8.2,,,,,,
1962,,,,,,,,,,Apr 01,,12.3,,,,,,
1963,,,,,,,,,,Apr 01,,10.2,,,,,,
1964,,,,,,,,,,Apr 01,,14.6,,,,,,
1965,,,,,,,,,,Apr 01,,15.8,,,,,,
1966,,,,,,,,,,Apr 01,,9.7,,,,,,
1967,,,,,,,,,,Apr 01,,17.9,,,,,,
1968,,,,,,,,,,Apr 01,,13.8,,,,,,
1969,,,,,,,Feb 18,47,13.1,Apr 04,41,12.8,,,,,,
1970,,,,,,,Feb 26,40,11.9,Mar 30,65,17.6,May 01,84,24.4,,,
1971,,,,,,,Feb 23,38,11.0,Mar 23,51,15.0,Apr 27,59,18.9,,,
1972,,,,,,,Feb 28,52,17.6,Mar 30,55,19.4,Apr 28,50,20.0,,,
1973,,,,,,,,,,Mar 29,45,10.5,,,,,,
1974,,,,,,,,,,Apr 01,,14.6,,,,,,
1975,,,,,,,,,,Apr 01,53,13.9,,,,,,
1976,,,,,,,,,,Mar 29,48,14.2,,,,,,
1977,,,,,,,,,,Apr 01,,10.9,,,,,,
1978,,,,,,,,,,Mar 28,45,14.6,,,,,,
1979,,,,,,,,,,Apr 01,52,14.5,,,,,,
1980,,,,,,,,,,Apr 01,,11.0,,,,,,
1981,,,,,,,,,,Apr 01,39,9.4,,,,,,
1982,,,,,,,,,,Mar 26,54,14.4,,,,,,
1983,,,,,,,,,,Mar 30,42,11.0,,,,,,
1984,,,,,,,,,,Apr 01,,11.5,,,,,,
1985,,,,,,,,,,Apr 01,,12.2,,,,,,
1986,,,,,,,,,,Apr 01,,12.1,,,,,,
1987,,,,,,,,,,Mar 30,35,6.7,,,,,,
1988,,,,,,,,,,Mar 25,33,8.0,,,,,,
1989,,,,,,,,,,Mar 31,40,9.1,,,,,,
1990,,,,,,,,,,Mar 27,45,12.8,,,,,,
1991,,,,,,,,,,Mar 28,36,9.2,,,,,,
1992,,,,,,,,,,Mar 26,30,9.4,,,,,,
1993,,,,,,,,,,Apr 01,28,7.7,,,,,,
1994,,,,,,,,,,Mar 29,40,9.1,,,,,,
1995,,,,,,,,,,Mar 31,44,13.2,,,,,,
1996,,,,,,,,,,Mar 25,47,12.6,,,,,,
1997,,,,,,,,,,Mar 25,49,15.2,,,,,,
1998,,,,,,,,,,Mar 31,46,10.2,,,,,,
1999,,,,,,,,,,Mar 29,39,11.8,,,,,,
2000,,,,,,,,,,Mar 29,33,8.8,,,,,,
2001,,,,,,,,,,Mar 28,33,8.0,,,,,,
2002,,,,,,,,,,Mar 28,42,10.3,,,,,,
2003,,,,,,,,,,Mar 28,47,12.0,,,,,,
2004,,,,,,,Feb 25,37,10.5,Mar 29,36,11.4,,,,,,
2005,,,,,,,,,,Mar 30,44,10.8,,,,,,
2006,,,,,,,Feb 24,35,7.8,Mar 30,43,10.5,,,,,,
2007,,,,,,,Feb 26,30,8.2,Mar 26,23,7.7,,,,,,
2008,,,,,,,Feb 27,30,7.7,Mar 26,32,9.4,,,,,,
2009,,,,,,,Mar 01,34,10.1,Apr 01,63,17.0,,,,,,
2010,,,,,,,Feb 28,42,11.6,Apr 01,,11.0,,,,,,
2011,,,,,,,Feb 28,39,10.2,Apr 03,49,13.5,,,,,,
2012,,,,,,,Feb 28,40,10.0,Apr 01,,11.4,,,,,,
2013,,,,,,,Mar 03,37,9.2,,,,,,,,,
2014,,,,,,,,,,Mar 28,65,19.7,,,,,,
2015,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,
2018,,,,,,,Mar 01,,13.5,Apr 03,60,16.4,,,,,,
2019,,,,,,,,,,,,,,,,,,
2020,,,,,,,Mar 05,45,10.7,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,
2024,,,,,,,,,,,,,,,,,,
