#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 10C18: County Line, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# County Line (10C18) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 7810 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:50:58 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1994,Jan 01,,10.3,Mar 01,,15.6,May 01,,17.0,Jul 01,,19.4,Sep 01,,19.2,Nov 01,,0.0
1995,Jan 01,,8.4,Mar 01,,11.7,May 01,,13.3,Jul 01,,16.9,Sep 01,,21.4,Nov 01,,15.5
1996,Jan 01,,7.3,Mar 01,,10.9,May 01,,13.3,Jul 01,,17.9,Sep 01,,20.0,Nov 01,,12.5
1997,Jan 01,,11.5,Mar 01,,14.7,May 01,,18.1,Jul 01,,21.5,Sep 01,,23.0,Nov 01,,10.3
1998,Jan 01,,5.3,Mar 01,,9.2,May 01,,10.3,Jul 01,,13.3,Sep 01,,13.0,Nov 01,,3.3
1999,Jan 01,,8.7,Mar 01,,13.0,May 01,,15.7,Jul 01,,15.8,Sep 01,,16.2,Nov 01,,7.3
2000,Jan 01,,8.0,Mar 01,,9.9,May 01,,11.5,Jul 01,,15.4,Sep 01,,15.0,Nov 01,,1.5
2001,Jan 01,,6.1,Mar 01,,8.1,May 01,,10.1,Jul 01,,13.6,Sep 01,,13.8,Nov 01,,0.0
2002,,,,,,,,,,Apr 03,53,14.3,,,,,,
2003,,,,,,,,,,Jul 01,,14.7,,,,,,
2004,,,,,,,,,,Jul 01,,16.8,,,,,,
2005,,,,,,,,,,Apr 05,55,15.9,,,,,,
2006,,,,,,,,,,Apr 04,57,18.5,,,,,,
2007,,,,,,,,,,Apr 03,56,17.5,,,,,,
2008,,,,,,,,,,Apr 01,67,17.7,,,,,,
2009,,,,,,,,,,Jul 01,,18.5,,,,,,
2010,,,,,,,,,,Mar 31,63,19.2,,,,,,
2011,,,,,,,,,,Mar 30,63,20.7,,,,,,
2012,,,,,,,,,,Apr 04,56,19.2,,,,,,
2013,,,,,,,,,,Apr 03,34,10.7,,,,,,
