#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 10C21: Lonesome Creek, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Lonesome Creek (10C21) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 6970 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:51:00 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1994,Jan 01,,7.1,Mar 01,,10.8,May 01,,11.8,Jul 01,,13.7,Sep 01,,10.5,Nov 01,,0.0
1995,Jan 01,,6.3,Mar 01,,8.7,May 01,,9.4,Jul 01,,13.7,Sep 01,,16.3,Nov 01,,5.9
1996,Jan 01,,5.1,Mar 01,,8.0,May 01,,10.0,Jul 01,,13.7,Sep 01,,13.3,Nov 01,,4.2
1997,Jan 01,,8.9,Mar 01,,11.3,May 01,,14.2,Jul 01,,17.1,Sep 01,,17.1,Nov 01,,0.0
1998,Jan 01,,3.7,Mar 01,,6.8,May 01,,7.6,Jul 01,,10.1,Sep 01,,7.4,Nov 01,,0.0
1999,Jan 01,,5.8,Mar 01,,9.4,May 01,,11.5,Jul 01,,11.6,Sep 01,,8.7,Nov 01,,0.0
2000,Jan 01,,6.5,Mar 01,,8.2,May 01,,9.6,Jul 01,,12.8,Sep 01,,8.3,Nov 01,,0.0
2001,Jan 01,,5.2,Mar 01,,7.0,May 01,,8.4,Jul 01,,11.4,Sep 01,,9.4,Nov 01,,0.0
2002,,,,,,,,,,Apr 03,42,12.0,,,,,,
2003,,,,,,,,,,Jul 01,,13.0,,,,,,
2004,,,,,,,,,,Jul 01,,13.2,,,,,,
2005,,,,,,,,,,Apr 06,45,12.9,,,,,,
2006,,,,,,,,,,Apr 05,43,14.3,,,,,,
2007,,,,,,,,,,Apr 03,43,12.8,,,,,,
2008,,,,,,,,,,Apr 01,51,13.7,,,,,,
2009,,,,,,,,,,Mar 31,57,13.4,,,,,,
2010,,,,,,,,,,Mar 31,48,13.9,,,,,,
2011,,,,,,,,,,Mar 30,43,12.8,,,,,,
2012,,,,,,,,,,Apr 04,41,14.8,,,,,,
2013,,,,,,,,,,Apr 03,28,8.4,,,,,,
