#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 10D13: Lick Creek, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Lick Creek (10D13) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 6860 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:01:46 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1964,Dec 31,12,2.4,Jan 31,25,6.5,Feb 27,47,13.1,Apr 03,46,16.1,May 01,37,18.0,May 28,0,0.0
1965,Dec 28,22,6.1,Feb 01,45,11.9,Mar 01,46,15.6,Mar 29,48,18.9,May 03,26,13.0,Jun 02,0,0.0
1966,Dec 30,10,1.6,Jan 29,17,4.1,Mar 02,31,7.0,Apr 01,23,8.5,Apr 27,28,8.8,Jun 01,0,0.0
1967,Dec 31,22,4.9,Jan 28,31,10.1,Feb 28,39,14.4,Mar 24,46,17.0,Apr 28,34,16.9,Jun 01,0,0.0
1968,Dec 27,38,9.2,Jan 31,37,13.8,Feb 29,38,14.3,Apr 01,37,14.5,Apr 30,39,17.8,Jun 01,0,0.0
1969,Jan 02,19,4.6,Jan 30,31,8.6,Feb 28,31,10.1,Apr 01,29,7.5,Apr 29,14,4.2,Jun 02,0,0.0
1970,Dec 30,34,7.8,Jan 30,34,12.0,Feb 27,35,12.8,Mar 30,62,19.4,May 02,65,24.6,May 27,13,6.1
1971,Dec 29,24,7.1,Jan 28,29,9.2,Feb 24,34,11.6,Mar 30,43,16.5,Apr 29,38,17.1,May 26,0,0.0
1972,Dec 28,20,4.9,Jan 27,28,8.5,Mar 01,31,10.8,Mar 30,30,10.0,Apr 28,14,7.0,Jun 01,0,0.0
1973,Dec 27,16,4.5,Jan 29,28,7.1,Feb 28,27,8.6,Mar 28,46,13.4,Apr 30,56,21.5,May 30,0,0.0
1974,Jan 02,24,5.2,Jan 28,17,5.6,Feb 26,26,8.8,Mar 27,33,13.1,Apr 30,28,13.5,May 28,3,1.2
