#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 11D10: Little Park, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Little Park (11D10) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 7400 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:03:37 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,,,,,,,Jul 01,,12.8,,,,,,
1962,,,,,,,,,,Jul 01,,19.5,,,,,,
1963,,,,,,,,,,Apr 01,46,14.8,May 02,43,15.8,,,
1964,,,,,,,Feb 29,49,14.4,Mar 26,59,18.2,Apr 30,51,20.3,,,
1965,,,,,,,Mar 02,59,19.4,Mar 25,58,20.8,Apr 30,50,19.8,,,
1966,,,,,,,Mar 03,35,7.9,Apr 02,36,10.4,Apr 28,38,13.0,,,
1967,,,,,,,Mar 02,50,16.0,Mar 29,63,20.3,Apr 27,54,21.9,,,
1968,,,,,,,Feb 27,60,20.5,Mar 26,60,22.1,Apr 29,58,24.1,,,
1969,,,,,,,Feb 25,52,15.0,Mar 26,51,16.9,Apr 28,37,14.4,,,
1970,,,,,,,Feb 25,50,15.6,Mar 27,64,20.2,May 01,75,25.6,,,
1971,,,,,,,Feb 25,61,19.0,Apr 01,71,25.3,Apr 28,61,24.5,,,
1972,,,,Jan 28,40,11.6,Feb 28,47,15.7,Mar 29,55,17.9,Apr 27,49,19.6,,,
1973,,,,,,,Feb 26,34,8.2,Mar 26,45,10.5,Apr 27,52,15.0,,,
1974,,,,,,,Feb 25,53,17.4,Mar 25,63,21.4,Apr 29,60,24.7,,,
1975,,,,,,,Feb 27,48,16.4,Mar 26,61,19.6,Apr 30,65,23.5,,,
1976,,,,,,,Feb 24,53,18.1,Mar 31,61,22.3,Apr 29,62,24.0,,,
1977,,,,,,,Feb 24,40,8.7,Mar 29,48,13.7,Apr 27,30,11.1,,,
1978,,,,,,,Mar 01,60,19.9,Mar 28,52,21.0,Apr 25,49,21.9,,,
1979,,,,,,,Mar 01,53,13.5,Mar 27,44,13.7,Apr 25,49,15.7,,,
