#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 12C17: Cottonwood Creek, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Cottonwood Creek (12C17) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 6400 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:59:17 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1974,,,,,,,,,,Mar 28,29,9.6,,,,,,
1975,,,,,,,Feb 28,27,8.2,Mar 26,34,9.6,May 02,52,15.8,,,
1976,,,,,,,Mar 04,38,10.2,Mar 25,39,11.9,,,,,,
1977,,,,,,,Mar 02,21,4.7,Apr 01,29,6.5,Apr 29,0,0.0,,,
1978,,,,,,,Mar 07,32,8.0,Apr 03,23,7.0,Apr 26,20,7.0,,,
1979,,,,,,,Feb 23,31,7.1,Mar 27,36,10.2,Apr 25,42,13.4,,,
1980,,,,,,,Feb 28,22,5.6,Apr 07,37,9.8,May 04,4,1.4,,,
1981,,,,,,,Feb 27,15,4.1,Apr 03,30,7.9,May 01,7,2.6,,,
1982,,,,,,,Feb 26,25,7.0,Mar 29,40,10.3,Apr 29,39,14.0,,,
1983,,,,,,,Feb 23,20,5.2,Mar 28,27,7.4,Apr 28,30,9.2,,,
1984,,,,,,,Mar 02,24,5.3,,,,Apr 27,40,11.0,,,
1985,,,,,,,Feb 27,34,8.3,Mar 29,43,10.6,Apr 29,22,8.4,,,
1986,,,,,,,Mar 04,18,4.8,Apr 03,23,7.3,May 01,24,7.0,,,
1987,,,,,,,Feb 25,19,3.7,Mar 31,23,6.2,Apr 27,0,0.0,,,
1988,,,,,,,Feb 25,22,5.0,Apr 03,26,6.8,Apr 29,18,6.6,,,
1989,,,,,,,Mar 03,32,6.2,Mar 30,37,9.2,May 01,24,8.6,,,
1990,,,,,,,Mar 05,22,4.4,Apr 03,27,7.8,May 01,14,4.6,,,
1991,,,,,,,Mar 03,22,5.4,Apr 02,26,7.3,May 02,28,9.4,,,
1992,,,,,,,Feb 27,19,4.8,Mar 30,18,6.2,Apr 27,5,1.4,,,
