#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 12C20: Moulton Reservoir, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Moulton Reservoir (12C20) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 6850 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:58:52 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1976,,,,,,,Mar 03,31,7.5,Mar 29,30,8.0,May 01,0,0.0,,,
1977,Dec 28,6,0.9,Jan 28,11,1.5,Feb 28,12,1.4,Mar 30,20,3.9,Apr 28,0,0.0,,,
1978,Dec 30,22,2.6,Jan 30,24,4.1,Feb 28,37,7.1,Mar 30,15,5.2,May 01,0,0.0,,,
1979,Jan 02,20,4.4,Feb 01,27,5.7,Feb 27,31,6.2,Mar 26,26,5.5,Apr 26,30,7.6,,,
1980,Dec 26,10,1.5,Jan 30,21,4.8,Feb 29,30,6.6,Mar 25,30,6.7,Apr 28,0,0.0,,,
1981,Dec 29,0,0.0,Jan 28,10,2.2,Feb 26,17,4.0,Mar 29,18,6.1,Apr 28,0,0.0,,,
1982,Dec 30,18,2.0,Jan 29,28,5.9,Feb 26,29,7.7,Mar 26,37,9.2,Apr 27,32,10.5,,,
1983,Dec 29,19,3.0,Jan 28,22,4.0,Feb 24,26,4.6,Mar 24,26,7.1,Apr 27,18,5.6,,,
1984,Dec 29,18,2.2,Jan 31,18,3.7,Feb 28,26,5.1,Mar 30,36,8.8,Apr 25,20,6.5,,,
1985,Dec 27,20,3.5,Jan 30,21,6.8,Feb 28,28,6.0,Mar 31,36,8.1,May 02,0,0.0,,,
1986,Dec 27,12,1.0,Jan 29,18,2.6,Feb 28,27,6.2,Mar 27,21,6.2,Apr 24,4,1.4,,,
1987,Dec 23,13,2.1,Jan 27,17,2.9,Feb 25,21,3.2,Mar 26,19,4.5,Apr 29,0,0.0,,,
1988,Jan 13,21,3.0,Jan 28,19,3.5,Mar 02,20,4.7,Apr 01,24,6.0,May 04,8,2.3,,,
