#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 12D08: Bull Mountain, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Bull Mountain (12D08) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 6600 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:59:17 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1974,,,,Feb 01,22,5.8,Feb 26,23,6.0,Mar 29,28,9.0,May 01,0,0.0,,,
1975,Jan 02,10,1.9,Feb 03,24,4.9,Mar 03,24,6.6,Apr 01,35,8.6,May 01,41,11.4,,,
1976,Dec 31,17,3.2,Feb 02,18,4.4,Feb 27,25,5.6,Mar 31,23,7.9,Apr 30,20,5.4,,,
1977,Dec 30,5,0.6,Jan 28,11,2.6,Feb 28,9,2.0,Apr 01,21,5.0,Apr 29,0,0.0,,,
1978,Jan 05,19,4.2,Jan 31,22,4.1,Feb 28,30,5.0,Mar 30,10,3.9,Apr 28,0,0.0,,,
1979,Jan 03,23,4.8,Jan 31,30,7.2,Feb 26,36,9.2,Mar 30,32,9.2,Apr 30,26,10.2,,,
1980,Jan 02,5,1.0,Feb 04,12,2.1,Feb 26,20,4.5,Mar 27,27,5.6,May 02,3,0.7,,,
1981,Jan 01,0,0.0,,,,Feb 27,5,1.4,Apr 01,7,2.2,May 01,0,0.0,,,
1982,Dec 31,12,2.2,,,,Feb 25,22,6.2,Mar 26,32,8.6,Apr 26,27,9.1,,,
1983,,,,Jan 27,19,4.0,Feb 24,21,5.8,Mar 31,21,6.4,Apr 27,10,3.2,,,
1984,,,,Feb 01,13,2.9,Feb 28,18,4.1,Mar 30,24,6.1,May 03,17,5.3,,,
1985,,,,,,,Feb 28,24,5.8,Mar 29,27,6.8,Apr 25,0,0.0,,,
1986,Dec 30,11,1.9,Jan 30,17,3.2,Feb 24,26,5.8,Mar 25,19,6.2,Apr 30,0,0.0,,,
1987,Jan 08,12,3.0,Jan 28,16,3.3,Feb 26,23,4.6,Mar 30,17,5.5,Apr 29,0,0.0,,,
