#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 12D10: Fish Creek, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Fish Creek (12D10) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 8000 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:03:29 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,,,,,,,Jul 01,,8.3,,,,,,
1962,,,,,,,,,,Jul 01,,11.3,,,,,,
1963,,,,,,,,,,Jul 01,,9.9,,,,,,
1964,,,,,,,,,,Jul 01,,6.9,,,,,,
1965,,,,,,,,,,Jul 01,,10.2,,,,,,
1966,,,,,,,,,,Jul 01,,7.8,,,,,,
1967,,,,,,,,,,Jul 01,,11.4,,,,,,
1968,,,,,,,,,,Jul 01,,11.4,,,,,,
1969,,,,,,,,,,Jul 01,,12.7,,,,,,
1970,,,,,,,,,,Jul 01,,9.9,,,,,,
1971,,,,,,,,,,Jul 01,,8.2,,,,,,
1972,,,,,,,,,,Jul 01,,11.6,,,,,,
1973,,,,,,,,,,Jul 01,,7.2,,,,,,
1974,,,,,,,,,,Jul 01,,9.9,,,,,,
1975,,,,,,,,,,Jul 01,,14.5,,,,,,
1976,,,,,,,Feb 26,42,12.7,Mar 26,47,13.3,May 03,60,20.2,,,
1977,Dec 27,6,0.0,Jan 27,12,2.3,Feb 25,14,2.8,Mar 28,33,6.1,Apr 28,20,6.0,May 27,9,2.2
1978,Dec 29,19,3.4,Jan 27,24,4.9,Feb 27,33,7.0,Mar 29,28,7.2,Apr 27,28,8.2,May 30,29,10.1
1979,Dec 27,18,3.0,Jan 30,25,4.9,Feb 26,32,7.1,Mar 28,42,9.4,Apr 27,50,14.0,,,
1980,Dec 28,11,1.0,Jan 29,22,3.8,Feb 27,26,5.7,Mar 27,40,8.2,Apr 29,19,6.2,May 31,0,0.0
1981,Jan 05,15,3.6,Jan 28,16,4.0,Feb 25,26,5.8,Mar 27,43,9.8,Apr 28,33,10.7,May 28,27,9.2
