#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 13A11: Beaver Lake, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Beaver Lake (13A11) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 5900 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:01:46 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1964,,,,,,,Feb 27,55,17.9,Mar 30,65,22.8,Apr 29,71,30.9,,,
1965,,,,,,,Mar 01,79,25.7,Mar 30,79,30.9,May 03,69,31.8,,,
1966,,,,,,,Feb 25,54,17.5,Mar 28,57,21.6,May 02,44,20.2,,,
1967,,,,,,,Mar 05,71,25.4,Apr 02,78,31.1,May 04,86,36.4,,,
1968,,,,,,,Feb 27,54,19.1,Apr 05,59,22.6,Apr 29,55,21.8,,,
1969,,,,,,,Mar 11,64,23.2,Apr 01,64,23.6,May 04,40,18.6,,,
1970,,,,,,,Mar 01,61,20.6,Apr 01,73,27.9,May 01,87,33.8,,,
1971,,,,,,,Mar 06,81,28.8,Apr 04,87,34.7,May 04,67,30.1,,,
1972,,,,,,,Mar 08,101,39.2,Mar 31,87,38.3,May 02,75,36.8,,,
1973,,,,,,,Mar 03,46,11.8,Apr 03,48,16.3,May 03,45,16.2,,,
1974,,,,,,,Mar 07,95,28.4,Mar 27,85,33.4,,,,,,
1975,,,,,,,Mar 01,55,20.0,Apr 06,72,27.4,May 01,71,30.0,May 31,52,25.2
1976,,,,,,,Mar 03,81,25.7,Mar 31,76,27.6,May 02,73,30.3,,,
1977,,,,,,,Mar 06,34,9.5,Apr 02,60,14.4,May 06,17,5.8,,,
1978,,,,,,,Feb 25,61,22.0,Apr 03,47,21.5,May 03,40,19.3,,,
1979,,,,,,,Mar 03,66,21.5,Apr 08,68,25.4,May 03,62,25.4,,,
1980,,,,,,,Feb 24,47,13.9,Mar 28,60,18.7,May 01,41,17.2,,,
1981,,,,,,,Mar 02,36,9.9,Mar 28,40,12.8,Apr 30,35,13.2,,,
1982,,,,,,,Feb 28,67,23.4,Apr 02,79,30.2,Apr 30,71,31.5,,,
1983,,,,,,,Feb 23,41,13.4,Apr 04,49,15.8,Apr 30,38,14.3,,,
1984,,,,,,,Feb 29,35,10.4,Apr 01,44,14.0,Apr 28,43,13.8,May 30,13,5.5
1985,,,,,,,Mar 07,68,19.5,Apr 02,61,21.4,Apr 30,45,18.8,,,
1986,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,
