#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 13A25: Noisy Basin, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Noisy Basin (13A25) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 6040 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:03:42 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,,,,,,,Jul 01,,42.8,,,,,,
1962,,,,,,,May 01,,32.7,Jul 01,,37.0,Sep 01,,42.6,,,
1963,,,,,,,May 01,,26.8,Jul 01,,34.3,Sep 01,,39.1,,,
1964,,,,,,,May 01,,34.7,Jul 01,,46.8,Sep 01,,53.3,,,
1965,,,,,,,May 01,,48.7,Jul 01,,54.7,Sep 01,,60.8,,,
1966,,,,,,,May 01,,33.2,Jul 01,,38.5,Sep 01,,39.5,,,
1967,,,,,,,May 01,,53.2,Jul 01,,57.2,Sep 01,,61.1,,,
1968,,,,,,,May 01,,35.0,Jul 01,,39.9,Sep 01,,42.0,,,
1969,,,,,,,May 01,,44.0,Jul 01,,47.3,Sep 01,,45.2,,,
1970,,,,,,,May 01,,37.7,Jul 01,,47.2,Sep 01,,50.8,,,
1971,,,,,,,May 01,,44.2,Jul 01,,53.6,Sep 01,,55.0,,,
1972,,,,,,,May 01,,51.0,Jul 01,,59.0,Sep 01,,64.5,,,
1973,,,,,,,May 01,,33.4,Jul 01,,39.9,Sep 01,,45.4,,,
1974,,,,,,,May 01,,59.3,Mar 28,154,62.3,May 01,161,76.3,,,
1975,Dec 31,59,15.6,Jan 31,93,29.4,Feb 27,102,37.7,Mar 27,121,46.0,Apr 30,124,50.8,May 29,93,49.3
1976,Dec 30,52,16.9,Jan 29,81,27.9,Feb 25,103,36.6,Mar 29,122,44.5,Apr 26,121,48.8,May 27,59,31.5
1977,Jan 04,49,14.9,Jan 28,64,21.0,Feb 28,98,30.0,Mar 31,116,41.0,Apr 27,89,40.4,May 25,59,30.4
1978,Dec 14,72,22.4,Jan 30,111,37.1,Feb 24,114,43.8,Mar 28,113,49.1,Apr 28,126,54.9,Jun 01,106,51.4
