#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 13B01: Trinkus Lake, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Trinkus Lake (13B01) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 6100 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:07:21 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1949,,,,,,,Feb 28,102,37.9,Apr 04,105,45.5,May 04,75,38.5,Jun 06,5,2.8
1950,,,,,,,Mar 01,120,44.2,Mar 29,156,57.3,May 02,121,55.9,Jun 01,86,40.8
1951,,,,Mar 01,,25.5,Feb 28,100,32.9,Mar 28,114,42.1,Apr 30,87,36.4,,,
1952,,,,Mar 01,,28.5,,,,Apr 04,115,48.0,May 01,80,40.6,,,
1953,,,,Mar 01,,24.3,,,,Mar 30,96,37.3,Apr 30,88,37.9,,,
1954,,,,Mar 01,,31.3,Mar 01,118,44.8,Apr 01,120,46.5,May 03,117,52.0,,,
1955,,,,Mar 01,,20.1,Mar 01,92,28.0,Apr 01,90,33.7,Apr 29,97,42.1,,,
1956,Jan 01,,18.3,Mar 01,,23.3,Feb 29,119,37.5,Apr 02,127,49.2,Apr 30,102,42.8,,,
1957,Jan 01,,16.1,Mar 01,,22.5,Feb 28,89,30.8,Apr 01,96,35.8,Apr 29,90,42.0,,,
1958,Jan 01,,17.1,Mar 01,,22.1,Mar 04,110,37.5,Apr 02,105,42.8,May 01,106,48.1,,,
1959,Jan 01,,20.6,Mar 01,,29.7,Mar 02,135,48.9,Mar 30,147,60.4,Apr 30,126,58.8,,,
1960,Jan 01,,19.6,Mar 01,,25.1,Mar 01,107,35.1,Mar 31,108,42.1,May 03,99,45.5,,,
1961,Jan 01,,20.0,Mar 01,,21.6,Feb 28,107,34.0,Apr 01,106,42.0,May 01,106,46.6,,,
1962,Jan 01,,24.3,Mar 01,,28.3,Mar 06,93,34.0,Mar 29,118,42.2,May 04,89,43.6,,,
1963,Jan 01,,12.8,Mar 01,,16.6,Feb 22,72,24.2,Apr 03,76,31.2,Apr 24,87,33.7,,,
1964,Jan 01,,14.9,Mar 01,,24.6,Feb 28,101,35.3,Mar 31,113,46.3,May 09,126,55.2,,,
1965,Jan 01,,23.3,Mar 01,,29.7,Mar 04,131,48.9,Mar 31,129,54.2,May 03,104,54.4,,,
1966,Jan 01,,12.3,Mar 01,,24.6,Mar 03,94,32.6,Mar 29,91,39.4,Apr 29,84,41.4,,,
1967,Jan 01,,21.3,Mar 01,,28.7,Feb 27,128,48.1,Apr 03,139,59.6,May 05,126,61.8,,,
1968,Jan 01,,18.6,Mar 01,,22.0,Feb 27,89,33.8,Apr 04,95,41.9,Apr 30,97,45.4,,,
1969,Jan 01,,28.7,Mar 01,,33.7,Mar 11,101,41.5,Apr 01,102,42.0,May 04,74,37.2,,,
1970,Jan 01,,15.6,Mar 01,,24.5,Mar 01,111,41.2,Apr 01,117,49.2,May 01,139,58.5,,,
