#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 13B10: Coyote Hill, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Coyote Hill (13B10) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 4200 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:07:57 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1947,,,,Jan 31,20,5.5,Feb 28,31,8.8,Mar 31,24,8.8,May 03,0,0.0,,,
1948,,,,Jan 30,25,6.0,Feb 27,30,7.8,Mar 29,30,9.6,May 01,0,0.0,,,
1949,,,,Feb 03,28,8.2,Feb 27,42,12.6,Mar 29,35,12.8,May 01,0,0.0,,,
1950,,,,Feb 02,36,10.0,Feb 27,42,12.0,Mar 20,51,16.8,May 02,15,8.9,,,
1951,,,,,,,Feb 26,12,3.6,Apr 01,12,4.3,Apr 30,0,0.0,,,
1952,Jan 02,33,8.0,Feb 01,35,10.4,Feb 28,43,13.8,Apr 01,38,14.9,May 01,0,0.0,,,
1953,Dec 31,18,3.4,Feb 02,29,8.2,Mar 02,39,11.4,Mar 30,30,11.7,May 01,8,3.7,,,
1954,Jan 04,18,5.2,Feb 01,34,10.1,Mar 01,42,13.2,Apr 01,39,13.2,May 01,14,5.6,,,
1955,Jan 03,19,2.8,Feb 01,20,4.6,Mar 01,31,7.2,Mar 30,35,10.6,May 02,10,4.8,,,
1956,Jan 03,24,7.0,Feb 02,37,8.9,Mar 02,47,11.2,Apr 02,34,12.0,May 01,2,0.9,,,
1957,Jan 03,19,4.8,Feb 01,36,7.4,Mar 01,31,9.4,Apr 01,30,8.2,May 01,2,0.7,,,
1958,Dec 31,23,4.8,Jan 31,33,8.2,Feb 28,33,9.5,Apr 01,26,9.9,May 01,4,1.4,,,
1959,Jan 02,18,4.9,Feb 02,35,8.8,Mar 02,40,12.4,Apr 01,34,12.4,May 01,6,2.1,,,
1960,Jan 04,16,4.2,Jan 29,23,6.6,Feb 29,32,9.0,Mar 31,27,8.4,Apr 29,3,0.9,,,
