#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 13D22: Saddle Mountain, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Saddle Mountain (13D22) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 7940 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:03:49 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,,,,,,,Jul 01,,20.6,,,,,,
1962,,,,,,,,,,Jul 01,,24.8,,,,,,
1963,,,,,,,,,,Jul 01,,19.6,,,,,,
1964,,,,,,,,,,Jul 01,,25.8,,,,,,
1965,,,,,,,Feb 17,86,30.0,Apr 02,83,32.6,Apr 30,71,33.3,Jun 02,50,26.4
1966,,,,,,,Feb 25,48,13.4,Mar 28,53,18.4,Apr 28,47,18.4,May 31,0,0.0
1967,,,,,,,Feb 27,69,24.2,Mar 30,80,28.4,Apr 27,85,31.6,May 29,49,25.7
1968,Dec 26,53,13.9,Jan 29,59,18.8,Mar 01,77,24.5,Mar 29,76,26.2,Apr 29,72,29.6,May 31,43,20.6
1969,Dec 31,46,11.7,Jan 29,83,25.1,Feb 28,81,28.2,Apr 01,74,28.6,Apr 29,66,28.6,May 27,26,13.6
1970,Jan 02,33,7.1,Jan 30,65,17.2,Mar 02,69,21.4,Mar 31,78,26.4,Apr 29,95,31.4,May 29,51,24.5
1971,Dec 31,56,14.4,Feb 01,71,24.0,Mar 01,84,28.8,Mar 31,94,34.4,Apr 28,96,38.6,May 28,55,26.8
1972,Dec 29,49,12.8,Feb 01,73,23.0,Mar 01,99,31.7,Mar 27,96,38.3,May 01,97,41.8,May 31,60,32.2
1973,Dec 27,41,8.3,Jan 31,52,13.7,Feb 28,49,15.3,Mar 27,66,19.6,Apr 30,62,22.6,May 31,21,9.4
1974,Dec 26,48,11.9,Jan 31,77,22.0,Feb 26,80,27.4,Mar 28,93,35.4,May 01,83,37.8,May 30,71,34.6
1975,Dec 30,40,8.6,Jan 30,79,19.8,Feb 27,77,25.3,Mar 27,93,30.3,Apr 30,105,38.9,May 29,84,38.7
