#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 13D24: Slag-A-Melt Lake, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Slag-a-melt Lake (13D24) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 8750 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:03:51 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,,,,May 01,,16.7,Jul 01,,17.3,,,,,,
1962,,,,,,,May 01,,22.6,Jul 01,,25.4,,,,,,
1963,,,,,,,May 01,,18.6,Jul 01,,21.7,,,,,,
1964,,,,,,,May 01,,18.6,Jul 01,,24.7,Sep 01,,29.9,,,
1965,,,,,,,May 01,,32.5,Jul 01,,34.8,Sep 01,,38.5,,,
1966,,,,,,,May 01,,14.6,Jul 01,,17.4,Sep 01,,19.4,,,
1967,,,,,,,May 01,,23.2,Jul 01,,27.6,Sep 01,,37.5,,,
1968,,,,,,,Feb 28,71,22.0,Apr 01,70,25.5,May 01,76,29.0,,,
1969,,,,,,,Feb 27,77,29.2,Mar 30,71,29.8,Apr 27,63,27.0,,,
1970,,,,,,,Mar 05,77,25.8,Apr 01,92,30.4,May 05,87,36.0,,,
1971,,,,,,,May 01,,28.8,Apr 04,91,37.8,May 03,94,38.8,,,
1972,,,,,,,Mar 01,85,31.0,Mar 29,96,37.9,Apr 26,92,39.6,,,
1973,,,,,,,Mar 03,57,20.6,Apr 04,65,20.8,May 02,52,20.4,,,
1974,,,,,,,Feb 24,75,29.0,Apr 07,101,41.3,Apr 29,87,39.0,,,
1975,,,,,,,Feb 23,68,24.2,Apr 01,82,30.6,May 02,97,38.1,,,
1976,,,,,,,Feb 22,82,30.6,Mar 29,94,35.6,Apr 29,100,40.9,,,
1977,,,,,,,Mar 07,28,7.1,Mar 31,46,11.9,Apr 29,23,10.2,,,
1978,,,,,,,Mar 02,79,28.8,Mar 23,74,30.8,Apr 29,68,31.0,,,
1979,,,,,,,Mar 02,78,19.2,Apr 06,64,23.0,Apr 27,75,28.5,,,
1980,,,,,,,Feb 27,59,17.9,Mar 28,67,22.3,Apr 28,46,19.0,,,
