#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 14A03: Hell Roaring Divide, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Hell Roaring Divide (14A03) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 5770 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:08:27 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1942,,,,,,,,,,Mar 28,63,21.4,May 02,35,13.1,,,
1943,,,,,,,,,,Apr 02,90,33.5,May 04,49,23.2,,,
1944,,,,,,,,,,Mar 30,60,18.8,Apr 29,40,16.5,,,
1945,,,,,,,,,,Mar 30,70,24.9,Apr 28,83,34.7,,,
1946,,,,,,,,,,Apr 02,89,35.6,May 02,70,30.1,,,
1947,,,,,,,,,,Mar 29,89,36.1,Apr 30,69,32.2,,,
1948,,,,,,,,,,Mar 30,88,28.7,Apr 29,73,32.2,,,
1949,,,,,,,,,,Mar 31,93,34.1,May 02,57,27.2,,,
1950,,,,,,,,,,Mar 31,112,38.2,May 01,91,37.7,,,
1951,,,,,,,Feb 28,82,26.9,Mar 30,85,26.8,Apr 30,55,24.1,,,
1952,,,,,,,Feb 26,83,29.4,Mar 26,92,34.7,Apr 29,52,26.1,,,
1953,,,,,,,Feb 25,79,26.1,Mar 30,77,29.3,May 01,70,30.5,,,
1954,,,,,,,Feb 24,88,31.2,Apr 05,104,40.1,Apr 30,88,36.7,,,
1955,,,,,,,Mar 01,63,18.6,Apr 04,74,25.6,May 02,73,27.8,,,
1956,,,,,,,Feb 27,92,28.4,Mar 28,94,34.5,Apr 27,68,31.8,,,
1957,,,,,,,Mar 07,84,26.7,Mar 27,81,34.7,Apr 24,75,29.7,,,
1958,,,,,,,Feb 26,81,23.3,Mar 25,78,29.5,Apr 23,82,32.5,,,
1959,,,,,,,Feb 23,93,31.7,Mar 23,98,32.5,Apr 27,88,39.3,,,
1960,,,,,,,Feb 22,88,29.3,Mar 21,88,33.2,Apr 25,81,34.4,,,
1961,,,,,,,Feb 27,87,28.6,Mar 21,85,32.6,Apr 18,83,35.1,,,
