#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 14A12: Stahl Peak, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Stahl Peak (14A12) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 6030 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:03:52 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,,,,,,,Jul 01,,44.5,,,,,,
1962,,,,,,,,,,Jul 01,,36.5,,,,,,
1963,,,,,,,,,,Jul 01,,31.0,,,,,,
1964,,,,,,,,,,Jul 01,,43.0,,,,,,
1965,,,,,,,,,,Jul 01,,46.0,,,,,,
1966,,,,,,,,,,Jul 01,,37.0,,,,,,
1967,,,,,,,,,,Jul 01,,59.0,,,,,,
1968,,,,,,,,,,Jul 01,,37.0,,,,,,
1969,,,,,,,Feb 26,116,43.3,Mar 28,108,44.2,May 02,98,45.0,Jun 05,30,16.8
1970,,,,,,,Mar 02,94,30.6,Mar 30,95,35.1,May 01,93,39.3,May 28,49,26.9
1971,,,,,,,Feb 26,125,41.1,Mar 29,121,48.4,Apr 26,100,46.5,May 28,66,43.0
1972,,,,,,,Mar 03,131,49.9,Mar 27,127,53.6,May 01,124,59.2,May 30,84,46.6
1973,,,,,,,Feb 26,89,33.5,Mar 26,97,37.2,Apr 30,90,43.9,May 29,53,28.0
1974,,,,,,,Feb 25,140,51.0,Mar 25,142,58.4,Apr 29,152,66.6,May 28,134,65.6
1975,,,,,,,Feb 24,98,33.6,Mar 24,113,39.8,Apr 28,106,43.2,May 27,82,42.7
1976,,,,Jan 26,85,28.8,Feb 23,97,34.7,Mar 29,120,43.1,Apr 26,106,44.5,May 26,61,31.9
1977,,,,Jan 25,38,10.8,Feb 25,58,15.6,Mar 28,78,24.2,Apr 26,57,23.2,,,
1978,Dec 28,72,24.2,Jan 23,95,32.0,Feb 27,90,34.8,Mar 27,94,40.3,Apr 24,117,49.4,May 25,93,44.8
1979,Dec 26,48,12.9,Jan 30,54,15.8,Mar 01,91,28.0,Mar 30,86,30.0,Apr 27,93,36.9,May 29,49,25.4
1980,Dec 26,57,16.7,Jan 28,70,23.7,Mar 01,82,29.4,Mar 25,107,32.7,Apr 27,82,38.4,Jun 05,20,9.4
1981,Jan 02,52,18.2,Feb 03,61,21.8,Feb 24,77,27.5,Apr 02,92,33.3,Apr 27,86,37.4,May 29,47,25.0
1982,Jan 06,56,15.4,Jan 25,69,20.8,Feb 23,98,34.3,Mar 25,105,40.0,Apr 26,104,45.6,Jun 01,64,35.8
1983,Dec 27,61,14.8,Jan 28,84,26.6,Feb 25,95,34.0,Mar 28,105,41.1,Apr 28,110,44.9,May 25,75,38.6
1984,Dec 28,51,14.6,Jan 26,64,19.4,Feb 27,78,25.7,Mar 30,96,34.7,Apr 25,83,33.7,May 29,75,35.8
1985,Jan 01,83,27.5,Jan 30,73,28.0,Feb 26,92,32.6,Mar 25,97,38.3,May 01,84,40.4,Jun 01,28,17.1
1986,Jan 01,,14.0,Jan 27,71,21.2,Mar 04,82,28.2,Mar 27,83,30.1,Apr 26,85,33.8,May 28,63,32.8
1987,Jan 01,70,22.1,Feb 05,79,28.8,Mar 08,88,33.4,Apr 03,89,35.8,May 04,75,36.2,May 30,23,12.7
1988,Dec 28,34,9.2,Jan 26,48,13.8,Feb 24,60,19.3,Mar 27,86,30.9,Apr 24,76,31.1,,,
1989,Jan 01,,17.5,Feb 07,78,27.4,Feb 23,84,29.9,Mar 25,111,41.4,Apr 27,95,43.8,,,
1990,Dec 26,52,17.6,Feb 05,103,33.6,Feb 25,111,40.8,Mar 26,114,45.8,May 01,96,43.3,,,
1991,Jan 01,,35.5,Mar 01,,44.8,May 01,,53.8,Mar 29,140,56.4,Sep 01,,57.6,,,
1992,Jan 01,,16.0,Mar 01,,24.2,May 01,,28.6,Mar 30,72,30.6,,,,,,
1993,,,,,,,,,,Mar 28,78,28.6,,,,,,
1994,,,,,,,,,,Mar 29,75,28.7,,,,,,
1995,,,,,,,,,,Mar 27,105,40.6,,,,,,
1996,,,,,,,,,,Apr 03,121,51.2,,,,,,
1997,,,,Jan 28,103,35.5,Feb 27,118,43.8,,,,,,,,,
1998,,,,,,,,,,Mar 27,97,37.8,,,,,,
1999,,,,,,,,,,Mar 29,106,42.9,,,,,,
2000,,,,,,,,,,Mar 30,104,39.2,,,,,,
2001,,,,,,,,,,Mar 27,50,15.7,,,,,,
2002,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,Mar 31,100,37.2,,,,,,
2004,,,,,,,,,,Apr 01,84,33.9,,,,,,
2005,,,,,,,,,,,,,,,,,,
2006,,,,,,,,,,Mar 28,108,42.2,Apr 26,92,43.9,,,
2007,,,,,,,,,,Mar 30,81,33.7,,,,,,
2008,,,,,,,,,,Mar 31,120,47.4,,,,,,
2009,,,,,,,,,,Mar 30,91,32.7,,,,,,
2010,,,,,,,,,,Mar 30,90,33.3,,,,,,
2011,,,,,,,,,,Mar 24,127,53.2,,,,,,
2012,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,
2015,Dec 29,61,16.4,,,,,,,,,,,,,,,
