#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 14A16: Herrig Junction, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Herrig Junction (14A16) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 4850 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:03:34 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1961,,,,,,,May 01,,23.9,Jul 01,,29.1,Sep 01,,29.0,,,
1962,,,,,,,May 01,,20.8,Jul 01,,23.7,Sep 01,,20.9,,,
1963,,,,,,,May 01,,19.4,Jul 01,,20.1,Sep 01,,17.8,,,
1964,,,,,,,May 01,,22.2,Jul 01,,27.9,Sep 01,,26.5,,,
1965,,,,,,,May 01,,24.6,Jul 01,,30.0,Sep 01,,26.8,,,
1966,,,,,,,May 01,,21.0,Jul 01,,24.1,Sep 01,,20.3,,,
1967,,,,,,,May 01,,29.3,Jul 01,,38.8,Sep 01,,36.5,,,
1968,,,,,,,May 01,,19.9,Jul 01,,24.0,Sep 01,,22.8,,,
1969,,,,,,,May 01,,26.4,Jul 01,,29.4,Sep 01,,23.1,,,
1970,,,,,,,May 01,,20.0,Jul 01,,23.3,Sep 01,,23.6,,,
1971,,,,,,,May 01,,25.9,Jul 01,,33.6,Sep 01,,29.7,,,
1972,,,,,,,May 01,,31.9,Jul 01,,37.6,Sep 01,,40.5,,,
1973,,,,,,,May 01,,20.0,Jul 01,,22.8,Sep 01,,20.9,,,
1974,,,,,,,May 01,,28.8,Jul 01,,37.2,Sep 01,,38.3,,,
1975,,,,,,,May 01,,23.4,Jul 01,,28.7,Sep 01,,26.9,,,
1976,,,,,,,May 01,,22.3,Jul 01,,29.8,Sep 01,,25.8,,,
1977,,,,Jan 21,31,7.4,Feb 25,41,11.0,Mar 24,50,15.8,Apr 25,24,9.0,,,
1978,,,,Jan 19,70,22.0,Feb 22,67,22.8,Mar 28,54,25.1,Apr 27,45,23.4,Jun 06,0,0.0
1979,,,,Jan 30,46,11.4,Feb 27,74,21.9,Mar 27,58,22.3,Apr 27,53,21.4,May 29,0,0.0
1980,,,,Jan 29,43,12.0,Feb 22,53,17.0,Mar 27,70,21.8,Apr 29,30,12.7,May 27,0,0.0
1981,,,,Jan 27,49,13.7,Feb 25,62,18.7,Mar 31,55,18.3,Apr 28,44,18.0,May 28,0,0.0
1982,,,,Jan 26,67,18.5,Feb 23,75,25.0,Mar 30,80,33.2,Apr 27,78,34.4,May 25,32,15.7
1983,,,,Jan 27,60,19.1,Feb 23,69,22.6,Mar 30,70,25.3,Apr 26,68,25.3,Jun 01,0,0.0
