#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 15A05: Garver Creek, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Garver Creek (15A05) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 4250 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:00:20 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1969,Jan 09,38,8.1,Feb 05,51,14.0,Feb 27,51,15.8,Mar 25,44,17.2,Apr 29,9,4.4,Jun 03,0,0.0
1970,,,,,,,Mar 04,41,10.8,Apr 01,32,11.1,Apr 29,22,9.4,May 26,0,0.0
1971,,,,Jan 18,42,11.1,Feb 22,36,13.3,Mar 31,48,16.7,Apr 28,24,11.0,May 26,0,0.0
1972,,,,Feb 01,45,12.8,Feb 29,44,14.2,Mar 28,26,10.9,May 02,7,3.2,May 31,0,0.0
1973,Jan 09,20,5.9,,,,Feb 27,30,9.4,Mar 27,28,10.3,May 01,0,0.0,May 31,0,0.0
1974,Jan 08,31,7.9,,,,Feb 27,51,14.4,Mar 26,47,16.9,Apr 30,14,6.1,May 29,0,0.0
1975,Jan 07,30,6.2,,,,Feb 25,44,13.1,Mar 25,44,14.8,Apr 30,26,11.2,May 28,0,0.0
1976,,,,Jan 27,17,4.7,Feb 24,29,7.2,Apr 02,32,10.5,Apr 27,8,3.9,May 24,0,0.0
1977,,,,Jan 26,9,1.8,Feb 22,10,2.1,Mar 29,16,4.9,Apr 26,0,0.0,,,
1978,,,,Jan 24,39,11.0,Feb 21,39,12.6,Mar 28,27,9.8,Apr 25,14,6.4,May 30,0,0.0
1979,,,,,,,Mar 09,25,9.0,Apr 02,21,6.3,Apr 23,12,4.4,May 29,0,0.0
1980,Dec 26,12,2.9,Jan 28,28,7.2,Mar 01,25,8.0,Mar 25,35,7.7,Apr 27,7,2.4,Jun 05,0,0.0
1981,Jan 02,18,5.5,Feb 03,24,6.6,Feb 24,24,7.9,Apr 02,15,6.1,Apr 27,2,0.9,May 29,0,0.0
1982,Jan 06,27,5.0,Jan 25,33,8.2,Feb 26,35,11.8,Mar 25,33,12.4,Apr 26,23,10.8,Jun 01,0,0.0
1983,Dec 27,30,5.5,Jan 28,33,8.9,Feb 25,28,10.3,Mar 28,29,11.2,Apr 28,13,5.4,May 25,0,0.0
1984,Dec 28,18,3.8,Jan 26,19,4.8,Feb 27,21,5.0,Mar 30,17,5.3,Apr 25,0,0.0,May 29,0,0.0
