#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 15A11: Bald Eagle Peak, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Bald Eagle Peak (15A11) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 5700 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:00:18 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1969,,,,,,,Feb 24,153,68.5,Mar 24,163,76.5,Apr 28,129,66.6,Jun 02,51,31.3
1970,,,,,,,Mar 06,128,47.7,Apr 03,133,54.7,Apr 27,144,60.9,May 25,85,45.1
1971,,,,,,,Feb 23,143,64.0,Apr 02,184,79.2,Apr 30,163,80.9,May 25,118,64.9
1972,,,,,,,Feb 28,194,81.6,Mar 31,179,85.2,May 05,176,94.4,Jun 01,110,67.1
1973,,,,,,,Mar 02,117,42.2,Mar 30,115,48.4,May 04,100,47.7,Jun 01,45,23.8
1974,,,,,,,Mar 01,203,81.2,Mar 28,208,92.0,May 01,189,92.8,May 30,159,80.9
1975,,,,,,,Feb 27,157,64.5,Mar 27,183,70.2,May 02,161,73.7,May 29,126,62.6
1976,,,,,,,,,,Mar 31,170,67.9,Apr 28,150,67.7,May 25,93,47.6
1977,,,,,,,Feb 23,56,19.0,Mar 31,92,34.1,Apr 28,59,28.8,,,
1978,,,,,,,Feb 23,127,48.3,Mar 30,113,52.1,Apr 27,117,54.1,May 31,84,43.4
1979,,,,,,,Mar 09,133,48.6,Apr 04,137,52.6,Apr 25,133,55.7,May 29,57,29.5
1980,,,,,,,Feb 25,102,39.1,Mar 25,123,48.9,Apr 27,94,48.4,,,
1981,,,,,,,Feb 24,86,33.6,Apr 02,107,39.3,Apr 27,99,45.4,,,
1982,,,,,,,Feb 26,147,59.2,Mar 25,173,72.6,Apr 26,172,81.9,,,
1983,,,,,,,Feb 25,106,42.9,,,,Apr 28,122,58.9,,,
1984,,,,,,,Feb 27,88,33.2,Mar 30,107,44.2,Apr 25,100,43.7,,,
1985,,,,,,,Feb 26,155,60.9,Mar 25,158,65.6,May 01,114,59.6,,,
1986,,,,,,,Mar 04,111,44.0,Mar 27,98,43.1,May 01,102,44.5,,,
1987,,,,,,,Mar 01,,39.5,Apr 03,89,41.7,May 04,104,43.7,,,
1988,,,,,,,May 01,102,34.8,Jul 01,117,41.5,Sep 01,87,41.0,,,
1989,,,,,,,May 01,120,42.9,Jul 01,136,55.1,Sep 01,108,56.1,,,
1990,,,,Mar 01,,42.5,May 01,,54.3,Jul 01,,56.0,Sep 01,,58.6,,,
1991,,,,,,,,,,,,,,,,,,
