#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 15A16: Friday Hill, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Friday Hill (15A16) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 4620 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:58:52 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1976,,,,,,,,,,Apr 06,52,20.4,May 04,25,11.4,,,
1977,Jan 03,16,3.8,Jan 28,18,5.0,Mar 01,26,5.8,Mar 28,38,11.6,Apr 27,0,0.0,,,
1978,Dec 29,38,11.2,Jan 27,59,19.0,Feb 24,55,19.5,Mar 27,42,18.4,Apr 27,26,12.8,May 30,0,0.0
1979,Jan 02,25,6.6,Jan 31,32,8.3,Mar 02,63,18.9,Mar 29,44,14.7,Apr 30,24,10.5,Jun 05,0,0.0
1980,Dec 28,23,6.2,Jan 31,41,12.7,Feb 27,42,13.8,Mar 27,52,17.4,Apr 30,7,2.8,May 30,0,0.0
1981,Dec 30,27,8.8,Jan 28,31,9.1,Feb 27,38,13.0,Mar 30,31,11.4,May 04,1,0.6,Jun 02,0,0.0
1982,Dec 29,32,6.4,Jan 28,55,14.8,Feb 24,56,19.0,Mar 29,64,24.6,Apr 27,59,24.6,Jun 02,0,0.0
1983,Dec 30,41,9.2,Feb 01,55,18.5,Feb 28,62,22.4,Apr 01,56,22.4,Apr 28,42,17.8,May 27,0,0.0
1984,Dec 30,30,6.7,Jan 27,31,7.4,Feb 27,42,10.8,Mar 26,40,13.0,Apr 25,20,6.7,May 29,0,0.0
1985,,,,Feb 05,51,17.2,Feb 28,63,18.6,Mar 28,66,21.5,Apr 29,34,15.8,May 31,0,0.0
1986,,,,Jan 27,32,7.9,Feb 27,39,11.6,Mar 28,23,9.0,Apr 28,0,0.0,,,
1987,,,,Jan 26,34,8.7,Feb 24,44,13.1,Mar 26,45,15.0,Apr 30,0,0.0,,,
1988,,,,Jan 26,34,8.3,Feb 23,38,10.7,Mar 30,40,11.6,Apr 27,0,0.0,,,
1989,,,,Jan 25,50,13.6,Feb 27,52,14.6,Mar 29,64,20.8,Apr 27,26,11.5,,,
1990,,,,Jan 29,50,12.0,Feb 23,63,19.4,Mar 26,52,20.6,Apr 30,0,0.0,,,
1991,,,,Jan 28,45,13.7,Feb 25,35,14.1,Mar 27,52,20.8,Apr 29,31,13.9,,,
1992,,,,Jan 30,36,11.4,Feb 27,37,13.1,Mar 31,0,0.0,Apr 28,0,0.0,,,
1993,,,,,,,,,,,,,,,,,,
