#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 15C01: Hoodoo Creek, MT
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Hoodoo Creek (15C01) 
# Montana  SNOW COURSE/AERIAL MARKER Site - 5900 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:09:59 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1937,Jan 02,41,10.8,Feb 03,72,18.7,Mar 03,106,29.9,Apr 02,100,35.6,,,,,,
1938,Jan 01,75,20.2,Feb 02,110,34.0,Feb 26,108,42.1,Apr 01,132,56.4,May 03,94,42.1,,,
1939,,,,,,,,,,Mar 31,99,50.1,Apr 29,65,34.5,,,
1940,,,,,,,,,,Apr 01,95,37.0,May 01,76,37.1,,,
1941,,,,,,,,,,Apr 03,54,22.5,Apr 28,39,18.2,,,
1942,,,,,,,,,,Apr 02,79,29.3,May 01,52,22.8,,,
1943,,,,,,,,,,Mar 31,146,59.9,May 02,95,44.7,,,
1944,,,,,,,,,,Apr 03,76,27.3,May 03,57,25.6,,,
1945,,,,,,,,,,Mar 28,103,38.5,May 02,94,45.7,,,
1946,,,,,,,,,,Apr 01,146,54.1,May 02,99,47.7,,,
1947,,,,,,,,,,Mar 31,134,58.3,May 01,110,50.3,,,
1948,,,,,,,,,,Apr 01,134,44.5,May 01,70,30.5,,,
1949,,,,,,,Mar 01,136,55.1,Mar 30,145,59.4,Apr 30,88,36.7,,,
1950,,,,,,,,,,Apr 05,183,64.6,May 02,73,27.8,,,
1951,,,,,,,,,,Mar 28,136,57.0,Apr 27,68,31.8,,,
1952,,,,,,,,,,Apr 10,113,49.0,May 01,77,38.3,,,
1953,,,,,,,,,,Mar 31,121,48.6,Apr 23,82,32.5,,,
1954,,,,,,,Mar 01,168,63.4,Apr 01,173,69.0,May 03,153,75.8,Jun 01,87,42.7
1955,,,,,,,,,,Apr 01,124,48.1,Apr 28,124,55.3,,,
1956,,,,Jan 26,131,44.2,Feb 29,169,59.6,Apr 02,166,68.6,May 01,124,63.1,Jun 01,62,32.6
