#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 05N05: Cordova, NM
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Cordova (05N05) 
# New Mexico  SNOW COURSE/AERIAL MARKER Site - 9600 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:08:27 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1942,,,,Feb 02,35,8.1,Feb 27,46,11.7,Apr 01,53,16.8,,,,,,
1943,,,,Feb 01,26,5.8,Mar 02,31,8.3,Apr 01,33,10.3,,,,,,
1944,,,,Feb 02,34,7.5,Mar 01,43,11.1,Mar 31,41,12.9,,,,,,
1945,,,,Feb 01,36,8.0,Mar 09,53,13.1,Apr 02,50,16.6,,,,,,
1946,,,,Feb 01,20,4.9,Mar 01,21,5.3,Apr 01,30,10.0,,,,,,
1947,,,,Feb 01,29,7.0,Mar 01,43,8.0,Mar 30,31,9.3,,,,,,
1948,,,,Feb 01,28,5.8,Feb 29,39,9.7,Apr 01,53,15.2,,,,,,
1949,,,,Jan 31,39,9.3,Feb 28,47,13.1,Apr 01,47,14.2,,,,,,
1950,,,,Feb 01,32,5.1,Mar 01,28,6.3,Mar 29,23,7.8,,,,,,
1951,,,,Feb 01,19,4.3,Feb 28,28,6.4,Mar 20,29,9.2,,,,,,
1952,,,,Jan 31,40,12.2,Feb 29,51,15.8,Mar 31,53,18.3,,,,,,
1953,,,,Feb 03,26,6.6,Mar 03,47,9.1,Apr 01,24,6.3,,,,,,
1954,,,,Feb 01,23,5.7,Mar 01,24,5.1,Apr 01,32,8.8,,,,,,
1955,,,,Jan 30,15,3.0,Mar 03,39,8.5,Mar 31,22,5.4,,,,,,
1956,,,,Feb 02,27,5.5,Mar 03,21,6.9,Mar 29,20,6.3,,,,,,
1957,,,,Jan 31,49,11.0,Feb 27,39,11.8,Apr 01,48,15.7,,,,,,
1958,,,,Feb 07,39,10.5,Feb 27,56,12.8,Apr 02,61,13.4,,,,,,
1959,,,,Feb 04,30,5.7,Mar 01,29,8.0,Mar 30,30,4.8,,,,,,
1960,,,,,,,Mar 03,63,14.5,Mar 25,39,12.3,,,,,,
1961,,,,Jan 29,37,6.0,Feb 25,39,7.9,Mar 28,42,11.7,,,,,,
1962,,,,Jan 30,30,6.6,Mar 01,51,14.8,Mar 26,46,13.3,,,,,,
1963,,,,Feb 02,27,7.1,,,,Mar 27,35,9.7,,,,,,
