#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 05N12: Alamitos, NM
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Alamitos (05N12) 
# New Mexico  SNOW COURSE/AERIAL MARKER Site - 9320 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 10:59:47 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1971,,,,Jan 29,6,1.5,Feb 25,12,3.3,Mar 25,4,1.3,,,,,,
1972,,,,Jan 31,19,5.1,Feb 22,19,4.5,Mar 29,2,0.5,,,,,,
1973,,,,,,,Mar 01,29,5.5,Mar 28,44,9.5,,,,,,
1974,,,,Jan 31,14,1.9,Feb 26,18,3.9,Mar 27,15,3.7,,,,,,
1975,,,,Jan 30,23,5.1,Feb 25,36,8.5,Mar 25,31,10.4,,,,,,
1976,,,,Jan 26,17,3.3,Feb 23,22,6.8,Mar 26,10,3.9,,,,,,
1977,,,,Feb 01,13,2.7,Feb 25,23,4.5,Mar 29,13,5.1,,,,,,
1978,,,,Jan 30,15,3.0,Feb 28,17,4.2,Mar 29,16,5.0,,,,,,
1979,,,,Jan 30,35,7.3,Feb 28,32,6.9,Mar 29,24,7.5,,,,,,
1980,,,,Jan 28,20,4.1,Feb 26,27,8.6,Mar 25,33,8.3,,,,,,
1981,,,,Jan 29,8,1.3,Feb 27,2,0.8,Mar 31,16,5.2,,,,,,
1982,,,,Jan 28,14,3.3,Feb 26,24,7.0,Mar 29,20,7.4,,,,,,
1983,,,,Jan 28,28,6.8,Feb 28,31,9.4,Mar 31,35,12.3,,,,,,
1984,,,,Jan 30,25,7.0,Feb 28,29,8.1,Mar 30,36,10.3,,,,,,
1985,,,,Jan 31,45,10.0,Mar 31,31,9.5,Apr 01,42,14.0,,,,,,
1986,,,,Jan 27,9,2.6,Feb 25,10,3.5,Mar 26,3,0.8,,,,,,
1987,,,,Jan 29,29,7.0,Feb 26,67,14.4,Mar 26,41,14.9,,,,,,
1988,,,,Jan 28,29,6.4,Feb 26,25,7.3,Mar 28,1,0.5,,,,,,
