#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 06P01: Quemazon, NM
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Quemazon (06P01) 
# New Mexico  SNOW COURSE/AERIAL MARKER Site - 9500 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:06:58 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1950,,,,Feb 02,28,4.8,Mar 01,26,5.0,Mar 31,16,3.5,,,,,,
1951,,,,Feb 02,18,2.2,Feb 27,25,5.0,Mar 31,16,4.3,,,,,,
1952,,,,,,,Mar 05,43,9.1,Mar 28,42,10.0,,,,,,
1953,,,,,,,Feb 28,33,7.2,Mar 27,25,3.8,,,,,,
1954,,,,,,,Mar 01,24,5.0,Mar 29,29,7.7,,,,,,
1955,,,,,,,Feb 28,25,3.9,Mar 30,0,0.0,,,,,,
1956,,,,,,,Feb 29,30,6.0,Mar 30,14,4.2,,,,,,
1957,,,,,,,Mar 01,30,7.1,Mar 29,32,9.8,,,,,,
1958,,,,,,,Feb 27,42,11.1,Mar 31,56,17.4,,,,,,
1959,,,,,,,Feb 27,27,7.0,Mar 31,23,6.3,,,,,,
1960,,,,Jan 27,38,9.3,Feb 25,46,11.7,Mar 30,40,12.7,,,,,,
1961,,,,Jan 30,37,8.7,Feb 23,34,9.3,Mar 29,46,13.9,,,,,,
1962,,,,Jan 29,40,9.9,Feb 26,40,11.0,Mar 30,42,12.3,,,,,,
1963,,,,Jan 28,23,4.5,Feb 26,31,7.1,Mar 26,30,8.0,,,,,,
1964,,,,Jan 30,14,2.2,Feb 25,23,5.3,Mar 26,25,6.3,,,,,,
1965,,,,Jan 27,32,8.4,Feb 25,44,11.7,Mar 29,41,12.0,,,,,,
1966,,,,Jan 26,27,6.0,Feb 24,40,8.5,Apr 01,23,6.4,,,,,,
1967,,,,Jan 27,15,3.3,Feb 28,20,4.1,Mar 30,9,2.0,,,,,,
1968,,,,Jan 29,27,6.4,Feb 27,28,8.0,Mar 28,36,11.0,,,,,,
1969,,,,Jan 30,30,5.8,Feb 27,32,7.6,Mar 27,36,10.3,,,,,,
1970,,,,Jan 29,20,4.2,Feb 26,21,4.5,Mar 31,41,8.6,,,,,,
1971,,,,Jan 28,15,3.1,Feb 26,16,3.9,Mar 29,8,2.8,,,,,,
1972,,,,Jan 28,26,7.0,Feb 29,26,6.8,Mar 30,15,5.2,,,,,,
1973,,,,Jan 29,32,7.6,Feb 22,39,9.7,Apr 03,76,20.7,,,,,,
1974,,,,Jan 31,26,6.4,Feb 27,28,8.1,Mar 27,28,9.3,,,,,,
1975,,,,,,,Feb 26,45,11.0,Mar 27,53,14.4,,,,,,
1976,,,,Jan 29,16,2.9,Feb 27,21,4.9,Mar 31,21,5.7,,,,,,
1977,Dec 30,6,1.1,Jan 31,16,3.5,Feb 25,20,4.5,Mar 30,19,5.0,Apr 27,0,0.0,,,
1978,Dec 29,10,2.3,Jan 28,22,3.7,Feb 27,25,6.4,Mar 30,26,7.6,Apr 26,0,0.0,,,
1979,,,,Jan 30,54,13.2,Mar 01,48,15.2,Mar 27,55,17.6,Apr 26,30,10.8,,,
1980,,,,Feb 05,34,8.8,Feb 26,44,12.0,Mar 31,50,14.2,Apr 28,32,11.8,,,
1981,,,,Jan 29,17,3.8,Feb 26,18,4.4,Mar 31,38,10.4,Apr 30,5,1.1,,,
1982,Jan 04,15,2.3,Jan 27,18,3.6,Feb 25,32,7.5,Mar 31,33,10.0,,,,,,
1983,Dec 29,31,7.0,Jan 27,31,7.8,Feb 24,40,11.3,Mar 31,50,15.3,,,,,,
1984,Dec 27,22,4.1,Jan 25,26,6.1,Feb 29,27,6.7,Mar 30,40,8.7,,,,,,
1985,Dec 31,34,8.7,Jan 31,42,10.5,Feb 28,46,12.0,Mar 28,47,13.8,May 01,8,3.1,,,
