#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 08S10: Whitewater - Aerial And Snow Course, NM
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Whitewater - Aerial And Snow Course (08S10) 
# New Mexico  SNOW COURSE/AERIAL MARKER Site - 10750 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:01:47 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1964,,,,Jan 30,24,4.8,Mar 01,30,6.8,Mar 30,50,10.0,,,,,,
1965,,,,Jan 29,48,10.6,Feb 26,72,20.1,Mar 31,76,24.3,,,,,,
1966,,,,Jan 31,84,20.2,Feb 28,98,28.0,Mar 31,94,34.5,,,,,,
1967,,,,Jan 31,14,3.8,Feb 28,38,8.1,Mar 31,38,11.4,,,,,,
1968,Dec 28,76,20.5,Jan 31,78,26.5,Feb 29,89,32.1,Mar 31,91,36.2,,,,,,
1969,,,,Jan 31,48,14.4,Feb 01,62,18.8,Apr 01,62,21.7,,,,,,
1970,,,,Jan 31,43,10.4,Mar 03,80,19.6,Apr 01,76,21.3,,,,,,
1971,,,,Feb 01,16,4.8,Mar 03,40,8.8,Mar 31,31,8.2,,,,,,
1972,,,,Jan 31,64,19.2,Mar 01,54,19.0,Mar 31,34,14.4,,,,,,
1973,,,,Feb 04,68,16.3,Feb 28,98,22.5,Mar 31,123,34.4,,,,,,
1974,,,,Jan 31,38,11.3,Feb 28,32,11.8,Mar 31,41,14.2,,,,,,
1975,,,,Jan 31,54,11.9,Mar 02,63,16.4,Mar 31,96,27.8,,,,,,
1976,,,,Jan 30,32,8.6,Feb 27,54,15.1,Apr 01,64,17.9,,,,,,
1977,,,,Jan 31,48,8.6,Feb 27,52,10.4,Mar 31,62,13.6,,,,,,
1978,,,,Feb 01,48,9.6,Mar 07,96,24.0,Mar 31,87,26.1,,,,,,
1979,,,,Feb 01,108,28.1,Feb 27,115,34.5,Mar 31,98,35.3,,,,,,
1980,,,,Feb 02,54,15.1,Feb 29,90,25.2,Apr 01,100,40.0,,,,,,
1981,Dec 30,18,4.5,Feb 01,24,6.0,Mar 01,40,13.0,Mar 31,66,19.8,,,,,,
