#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 14L01: Baker Creek #1, NV
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Baker Creek #1 (14L01) 
# Nevada  SNOW COURSE/AERIAL MARKER Site - 7950 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:08:28 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1942,,,,,,,Mar 02,19,5.0,Apr 01,16,3.8,,,,,,
1943,,,,,,,Mar 01,19,5.6,Apr 01,12,4.7,,,,,,
1944,,,,,,,Mar 04,34,8.2,Apr 01,25,7.4,,,,,,
1945,,,,,,,Mar 01,35,7.6,Mar 31,33,10.0,,,,,,
1946,,,,,,,Mar 01,12,2.7,Apr 02,15,4.3,,,,,,
1947,,,,,,,Feb 26,18,5.3,Apr 01,3,1.0,,,,,,
1948,,,,,,,Mar 02,30,4.6,Mar 26,29,8.2,,,,,,
1949,,,,,,,Mar 04,35,9.1,Apr 05,31,11.4,,,,,,
1950,,,,,,,Mar 01,9,2.1,Mar 31,0,0.0,,,,,,
1951,,,,,,,Mar 01,12,1.4,Apr 02,0,0.0,,,,,,
1952,,,,,,,Feb 28,44,15.6,Apr 01,54,22.2,,,,,,
1953,,,,,,,Mar 01,12,1.7,Apr 02,0,0.0,,,,,,
1954,,,,,,,Feb 28,22,6.7,Mar 31,39,10.1,,,,,,
1955,,,,,,,Mar 02,29,8.2,Mar 30,21,6.8,,,,,,
1956,,,,,,,Feb 29,28,8.4,Mar 28,14,5.2,,,,,,
1957,,,,,,,Feb 28,11,2.8,Mar 29,10,3.8,,,,,,
1958,,,,,,,Feb 25,18,5.2,Mar 21,24,7.6,,,,,,
1959,,,,,,,Mar 04,14,3.6,Mar 31,11,4.6,,,,,,
1960,,,,,,,Feb 25,25,5.6,Mar 31,7,2.4,,,,,,
1961,,,,,,,Mar 02,9,2.0,Mar 30,14,4.2,,,,,,
1962,,,,,,,Mar 01,33,9.3,Mar 26,33,10.7,,,,,,
1963,,,,,,,Feb 27,4,0.9,Apr 01,5,2.0,May 02,0,0.0,,,
