#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Monthly
# Date Range: Period of Record
# Report Instantaneous Data As: Start of Month
#
# Data for the following site(s) are contained in this file:
#
#	SNOW COURSE/AERIAL MARKER 15H13: Goat Creek, NV
# 
# Data items provided in this file:
#
# Element Name           Value Type       Function Type  Function Duration               Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Collection date  None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# Snow Depth             Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           SNWD          Total snow depth                                                                                   
# Snow Water Equivalent  Value            None           Instantaneous - Start of Month  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Goat Creek (15H13) 
# Nevada  SNOW COURSE/AERIAL MARKER Site - 8800 ft
# Reporting Frequency: Monthly; Date Range: Period of Record
#
# As of: Nov 6, 2023, 11:05:58 AM GMT-08:00
#
Water Year,Jan,Jan,Jan,Feb,Feb,Feb,Mar,Mar,Mar,Apr,Apr,Apr,May,May,May,Jun,Jun,Jun
,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent Collection Date Start of Month Values,Snow Depth (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1955,Dec 30,14,2.6,Jan 31,21,5.4,Feb 28,38,9.2,Mar 31,42,14.7,Apr 29,48,17.7,,,
1956,Jan 02,47,13.7,Jan 31,59,19.1,Feb 29,69,24.2,Mar 29,63,25.3,Apr 30,56,23.8,Jun 04,0,0.0
1957,Dec 28,28,7.7,Jan 29,39,10.5,Feb 27,48,13.7,Mar 29,57,18.8,May 03,57,21.2,,,
1958,Jan 06,28,7.7,Jan 31,47,12.6,Feb 28,55,17.0,Mar 28,61,20.2,Apr 29,62,24.2,,,
1959,Dec 30,17,3.7,Jan 29,32,8.0,Feb 26,42,12.3,Mar 28,42,13.9,Apr 27,31,11.5,,,
1960,Dec 30,16,3.4,Jan 27,28,6.8,Feb 25,51,12.9,Mar 29,45,15.7,Apr 27,40,15.6,,,
1961,Dec 29,28,7.3,Jan 30,25,7.0,Mar 01,38,11.0,Mar 27,56,14.6,Apr 27,38,13.4,,,
1962,Jan 01,,7.1,Jan 29,32,9.5,Mar 01,71,20.0,Mar 26,75,26.4,Apr 30,53,20.6,,,
1963,Dec 31,12,2.4,Jan 28,15,3.5,Feb 25,40,10.0,Mar 27,39,12.2,Apr 29,57,19.0,,,
1964,Dec 30,24,5.3,Jan 29,42,12.5,Feb 27,43,12.8,Mar 28,55,18.1,Apr 29,50,19.0,,,
1965,Dec 29,37,9.3,Feb 01,44,13.4,Feb 25,63,22.2,Mar 29,66,23.4,Apr 29,60,23.9,,,
1966,Jan 10,25,4.5,Jan 26,29,7.8,Feb 24,38,11.5,Mar 28,41,13.3,Apr 28,20,7.3,,,
1967,Jan 01,,9.2,Jan 30,46,14.1,Feb 27,44,15.0,Mar 30,55,17.4,May 01,81,27.4,,,
